race_id,race_date,stadium_code,stadium_name,race_no,grade,meeting_day_no,meeting_day_label,is_final_day,lane,racer_id,racer_name,racer_class,branch,hometown,age,weight_kg,weight_kg_before,adjust_weight_kg,f_count,l_count,avg_start_timing,national_win_rate,national_place_rate,national_top3_rate,local_win_rate,local_place_rate,local_top3_rate,motor_no,motor_place_rate,motor_top3_rate,boat_no,boat_place_rate,boat_top3_rate,exhibition_time,tilt,course_entry,start_exhibition_st,start_exhibition_status,weather_condition,weather_temp_c,wind_speed_m,wind_direction_code,water_temp_c,wave_height_cm,first_place_lane,second_place_lane,third_place_lane,is_winner,is_top2,is_top3,exhibition_time_rank,exhibition_time_diff_from_top,win_rate_rank,st_diff_from_inside,is_hometown
202401010601,2024-01-01,06,浜名湖,1,一般,4,第4日,False,1,4918,川島拓郎,B1,静岡,,35,53.0,,,,,,5.08,28.89,,4.34,20.95,,7,27.82,,53,41.18,,6.83,,1,0.05,,晴,,6,,,3,4,1,5,0,1,1,4,0.11,4,,0
202401010601,2024-01-01,06,浜名湖,1,一般,4,第4日,False,2,3489,大場敏,A1,静岡,,56,54.0,,,,,,5.92,40.54,,6.4,43.02,,37,27.13,,48,25.0,,6.82,,2,0.16,,晴,,6,,,3,4,1,5,0,0,0,3,0.1,2,0.11,0
202401010601,2024-01-01,06,浜名湖,1,一般,4,第4日,False,3,4058,野末智一,B1,静岡,,44,51.0,,,,,,5.51,38.02,,4.78,27.91,,32,34.23,,22,40.0,,6.87,,3,0.13,,晴,,6,,,3,4,1,5,0,0,0,5,0.15,3,-0.03,0
202401010601,2024-01-01,06,浜名湖,1,一般,4,第4日,False,4,4150,山田雄太,A2,静岡,,41,54.0,,,,,,6.46,50.94,,5.99,43.45,,60,35.66,,36,30.56,,6.72,,4,0.11,,晴,,6,,,3,4,1,5,1,1,1,1,0.0,1,-0.02,0
202401010601,2024-01-01,06,浜名湖,1,一般,4,第4日,False,5,5316,村松将平,B2,静岡,,23,52.0,,,,,,2.09,4.35,,1.89,11.11,,24,35.57,,41,30.0,,6.79,,6,0.15,,晴,,6,,,3,4,1,5,0,0,1,2,0.07,6,0.04,0
202401010601,2024-01-01,06,浜名湖,1,一般,4,第4日,False,6,3294,野中義生,B1,静岡,,58,53.0,,,,,,3.91,20.0,,4.77,27.91,,21,32.21,,26,35.0,,6.87,,5,0.12,,晴,,6,,,3,4,1,5,0,0,0,6,0.15,5,-0.03,0
202401010712,2024-01-01,07,蒲郡,12,一般,2,第2日,False,1,4337,平本真之,A1,愛知,,39,56.0,,,,,,7.08,41.13,,6.91,46.91,,28,38.84,,36,31.15,,6.7,,1,0.01,,晴,,3,,,1,1,5,4,1,1,1,1,0.0,1,,0
202401010712,2024-01-01,07,蒲郡,12,一般,2,第2日,False,2,3455,谷本幸司,A2,愛知,,52,51.0,,,,,,4.15,18.99,,5.25,35.63,,19,32.38,,66,35.25,,,,,,,晴,,3,,,1,1,5,4,0,0,0,5,,5,,0
202401010712,2024-01-01,07,蒲郡,12,一般,2,第2日,False,3,4442,松竹大輔,B1,愛知,,37,51.0,,,,,,5.84,37.04,,6.02,43.62,,58,29.51,,48,41.01,,6.81,,3,0.01,,晴,,3,,,1,1,5,4,0,0,0,4,0.11,4,,0
202401010712,2024-01-01,07,蒲郡,12,一般,2,第2日,False,4,4276,鈴木勝博,A1,愛知,,40,52.0,,,,,,6.54,49.57,,7.09,65.82,,41,45.3,,76,37.1,,6.76,,4,0.01,,晴,,3,,,1,1,5,4,0,0,1,3,0.06,3,0.0,0
