race_id,race_date,stadium_code,stadium_name,race_no,distance_m,grade,meeting_day_no,meeting_day_label,is_final_day,weather_condition,weather_temp_c,wind_speed_m,wind_direction_code,water_temp_c,wave_height_cm,first_place_lane,second_place_lane,third_place_lane,exacta_combo,exacta_payout,trifecta_combo,trifecta_payout,winning_technique,a1_count,a2_count,b1_count,b2_count,avg_national_win_rate,max_national_win_rate,lane1_national_win_rate,lane1_local_win_rate,lane1_motor_place_rate,best_exhibition_time,best_exhibition_lane,lane1_vs_best_exhibition_diff,is_rough_race
202401010601,2024-01-01,06,浜名湖,1,1800,一般,4,第4日,False,晴,,6,,,3,4,1,5,4-1,1200,4-1-5,15090,まくり,1,1,3,1,4.828,6.46,5.08,4.34,27.82,6.72,4,0.11,1
202401010712,2024-01-01,07,蒲郡,12,1800,一般,2,第2日,False,晴,,3,,,1,1,5,4,1-5,440,1-5-4,620,逃げ,4,1,1,0,5.685,7.08,7.08,6.91,38.84,6.7,1,0.0,0
202401010803,2024-01-01,08,常滑,3,1800,一般,3,第3日,False,晴,,5,,,4,2,5,3,2-5,2040,2-5-3,9420,まくり,1,1,4,0,4.748,6.05,4.13,4.23,50.0,6.71,2,0.11,0
202401010904,2024-01-01,09,津,4,1200,一般,3,第3日,False,晴,,7,,,5,1,2,4,1-2,1190,1-2-4,4740,逃げ,1,2,3,0,5.468,6.23,4.36,2.87,57.14,6.66,4,0.04,0
202401011404,2024-01-01,14,鳴門,4,1800,一般,3,第3日,False,晴,,4,,,4,4,2,3,4-2,1900,4-2-3,6570,抜き,1,1,3,1,4.653,6.7,6.24,6.15,31.14,6.84,5,0.19,0
202401020102,2024-01-02,01,桐生,2,1800,一般,1,第1日,False,晴,,2,,,1,6,4,1,6-4,2790,6-4-1,7050,抜き,1,1,4,0,5.195,6.23,5.22,5.64,28.57,6.72,1,0.0,0
202401020106,2024-01-02,01,桐生,6,1800,一般,1,第1日,False,晴,,0,,,0,1,2,3,1-2,310,1-2-3,750,逃げ,1,0,5,0,4.39,6.59,6.59,7.96,71.43,6.73,1,0.0,0
202401020309,2024-01-02,03,江戸川,9,1800,一般,1,第1日,False,曇り,,3,,,5,2,6,1,2-6,3280,2-6-1,6510,差し,0,2,3,1,3.978,5.4,5.4,5.81,37.06,6.75,2,0.06,0
202401020607,2024-01-02,06,浜名湖,7,1800,一般,5,第5日,False,晴,,2,,,1,5,4,2,5-4,1470,5-4-2,5590,まくり差し,1,1,4,0,5.793,7.62,5.61,5.9,39.33,6.61,1,0.0,0
202401020710,2024-01-02,07,蒲郡,10,1800,一般,3,第3日,False,晴,,3,,,1,1,2,6,1-2,320,1-2-6,1610,逃げ,2,2,2,0,6.002,6.79,6.54,7.09,45.3,6.64,5,0.17,0
202401020811,2024-01-02,08,常滑,11,1800,一般,4,第4日,False,晴,,1,,,0,1,4,2,1-4,330,1-4-2,1060,逃げ,2,1,3,0,5.643,8.41,8.41,8.59,25.0,6.68,3,0.05,0
202401020905,2024-01-02,09,津,5,1800,一般,4,第4日,False,晴,,2,,,1,1,3,2,1-3,260,1-3-2,380,恵まれ,1,0,5,0,4.955,6.58,6.58,6.83,14.29,6.75,1,0.0,0
202401020912,2024-01-02,09,津,12,1800,一般,4,第4日,False,晴,,4,,,2,1,2,5,1-2,170,1-2-5,580,逃げ,2,2,2,0,6.022,7.31,7.31,6.45,57.14,6.65,1,0.0,0
202401021509,2024-01-02,15,丸亀,9,1800,一般,4,第4日,False,晴,,1,,,1,1,3,5,1-3,200,1-3-5,780,逃げ,2,2,2,0,5.9,6.62,6.32,6.68,39.73,6.73,3,0.03,0
202401021708,2024-01-02,17,宮島,8,1800,一般,4,第4日,False,晴,,1,,,1,4,1,6,4-1,3800,4-1-6,24620,まくり,1,2,2,1,4.883,6.18,5.65,5.91,27.59,6.68,3,0.12,1
202401021907,2024-01-02,19,下関,7,1800,一般,6,第6日,False,晴,,1,,,1,1,3,6,1-3,300,1-3-6,1880,逃げ,1,0,5,0,4.59,6.21,6.21,6.38,35.33,6.74,1,0.0,0
202401022401,2024-01-02,24,大村,1,1800,一般,2,第2日,False,晴,,1,,,1,1,6,2,1-6,1000,1-6-2,1860,逃げ,0,0,4,2,3.695,4.88,3.8,3.86,36.3,6.89,2,0.03,0
202401022403,2024-01-02,24,大村,3,1800,一般,2,第2日,False,晴,,1,,,1,1,3,5,1-3,230,1-3-5,1030,逃げ,0,0,6,0,4.788,5.66,5.66,4.59,37.98,6.81,3,0.08,0
202401030312,2024-01-03,03,江戸川,12,1800,一般,2,第2日,False,曇り,,2,,,5,1,2,6,1-2,420,1-2-6,1720,逃げ,1,2,3,0,5.212,6.15,5.74,6.67,33.09,6.77,6,0.1,0
202401031108,2024-01-03,11,びわこ,8,1800,一般,1,第1日,False,曇り,,1,,,1,4,1,6,4-1,400,4-1-6,1640,差し,1,2,3,0,5.573,8.08,5.99,6.69,29.94,6.65,1,0.0,0
202401031202,2024-01-03,12,住之江,2,1800,一般,2,第2日,False,晴,,1,,,1,5,3,6,5-3,820,5-3-6,1800,まくり,2,1,2,1,4.937,7.18,4.85,4.58,35.19,6.87,5,0.08,0
202401031404,2024-01-03,14,鳴門,4,1800,一般,5,第5日,False,曇り,,2,,,2,6,5,1,6-5,4160,6-5-1,8840,差し,2,0,3,1,5.267,7.07,5.63,5.82,30.43,6.8,1,0.0,0
