strategy,race_id,race_date,bet_amount,payout,profit,cumulative_profit,drawdown
4wind_only_wind_5_6_415_x5,202504020408,2025-04-02,1000,0,-1000,-1000,1000
4wind_only_wind_5_6_415_x5,202504021808,2025-04-02,1000,0,-1000,-2000,2000
4wind_only_wind_5_6_415_x5,202504021811,2025-04-02,1000,0,-1000,-3000,3000
4wind_only_wind_5_6_415_x5,202504030704,2025-04-03,1000,0,-1000,-4000,4000
4wind_only_wind_5_6_415_x5,202504040202,2025-04-04,1000,1900,900,-3100,3100
4wind_only_wind_5_6_415_x5,202504040204,2025-04-04,1000,0,-1000,-4100,4100
4wind_only_wind_5_6_415_x5,202504040208,2025-04-04,1000,3950,2950,-1150,1150
4wind_only_wind_5_6_415_x5,202504040904,2025-04-04,1000,0,-1000,-2150,2150
4wind_only_wind_5_6_415_x5,202504040909,2025-04-04,1000,0,-1000,-3150,3150
4wind_only_wind_5_6_415_x5,202504060401,2025-04-06,1000,0,-1000,-4150,4150
4wind_only_wind_5_6_415_x5,202504081307,2025-04-08,1000,0,-1000,-5150,5150
4wind_only_wind_5_6_415_x5,202504081707,2025-04-08,1000,0,-1000,-6150,6150
4wind_only_wind_5_6_415_x5,202504082107,2025-04-08,1000,4350,3350,-2800,2800
4wind_only_wind_5_6_415_x5,202504100210,2025-04-10,1000,0,-1000,-3800,3800
4wind_only_wind_5_6_415_x5,202504102306,2025-04-10,1000,0,-1000,-4800,4800
4wind_only_wind_5_6_415_x5,202504102310,2025-04-10,1000,0,-1000,-5800,5800
4wind_only_wind_5_6_415_x5,202504120211,2025-04-12,1000,0,-1000,-6800,6800
4wind_only_wind_5_6_415_x5,202504130212,2025-04-13,1000,0,-1000,-7800,7800
4wind_only_wind_5_6_415_x5,202504131512,2025-04-13,1000,0,-1000,-8800,8800
4wind_only_wind_5_6_415_x5,202504131707,2025-04-13,1000,0,-1000,-9800,9800
4wind_only_wind_5_6_415_x5,202504131710,2025-04-13,1000,0,-1000,-10800,10800
4wind_only_wind_5_6_415_x5,202504132310,2025-04-13,1000,0,-1000,-11800,11800
4wind_only_wind_5_6_415_x5,202504140406,2025-04-14,1000,0,-1000,-12800,12800
4wind_only_wind_5_6_415_x5,202504141204,2025-04-14,1000,0,-1000,-13800,13800
4wind_only_wind_5_6_415_x5,202504150608,2025-04-15,1000,1700,700,-13100,13100
4wind_only_wind_5_6_415_x5,202504160407,2025-04-16,1000,0,-1000,-14100,14100
4wind_only_wind_5_6_415_x5,202504160906,2025-04-16,1000,4950,3950,-10150,10150
4wind_only_wind_5_6_415_x5,202504180410,2025-04-18,1000,13800,12800,2650,0
4wind_only_wind_5_6_415_x5,202504191308,2025-04-19,1000,0,-1000,1650,1000
4wind_only_wind_5_6_415_x5,202504192009,2025-04-19,1000,0,-1000,650,2000
4wind_only_wind_5_6_415_x5,202504201308,2025-04-20,1000,0,-1000,-350,3000
4wind_only_wind_5_6_415_x5,202504212007,2025-04-21,1000,0,-1000,-1350,4000
4wind_only_wind_5_6_415_x5,202504220212,2025-04-22,1000,0,-1000,-2350,5000
4wind_only_wind_5_6_415_x5,202504220804,2025-04-22,1000,0,-1000,-3350,6000
4wind_only_wind_5_6_415_x5,202504220807,2025-04-22,1000,0,-1000,-4350,7000
4wind_only_wind_5_6_415_x5,202504220909,2025-04-22,1000,0,-1000,-5350,8000
