strategy,race_id,race_date,bet_amount,payout,profit,cumulative_profit,drawdown
C2_plus_125_plus_4wind_natural,202504010101,2025-04-01,4000,0,-4000,-4000,4000
C2_plus_125_plus_4wind_natural,202504010111,2025-04-01,4000,0,-4000,-8000,8000
C2_plus_125_plus_4wind_natural,202504012107,2025-04-01,100,0,-100,-8100,8100
C2_plus_125_plus_4wind_natural,202504020408,2025-04-02,200,0,-200,-8300,8300
C2_plus_125_plus_4wind_natural,202504021202,2025-04-02,100,0,-100,-8400,8400
C2_plus_125_plus_4wind_natural,202504021808,2025-04-02,200,0,-200,-8600,8600
C2_plus_125_plus_4wind_natural,202504021811,2025-04-02,200,0,-200,-8800,8800
C2_plus_125_plus_4wind_natural,202504030704,2025-04-03,200,0,-200,-9000,9000
C2_plus_125_plus_4wind_natural,202504040202,2025-04-04,200,380,180,-8820,8820
C2_plus_125_plus_4wind_natural,202504040204,2025-04-04,200,0,-200,-9020,9020
C2_plus_125_plus_4wind_natural,202504040208,2025-04-04,200,790,590,-8430,8430
C2_plus_125_plus_4wind_natural,202504040904,2025-04-04,200,0,-200,-8630,8630
C2_plus_125_plus_4wind_natural,202504040909,2025-04-04,200,0,-200,-8830,8830
C2_plus_125_plus_4wind_natural,202504050101,2025-04-05,4000,0,-4000,-12830,12830
C2_plus_125_plus_4wind_natural,202504050112,2025-04-05,4000,34670,30670,17840,0
C2_plus_125_plus_4wind_natural,202504051201,2025-04-05,100,0,-100,17740,100
C2_plus_125_plus_4wind_natural,202504051202,2025-04-05,100,0,-100,17640,200
C2_plus_125_plus_4wind_natural,202504060104,2025-04-06,4000,0,-4000,13640,4200
C2_plus_125_plus_4wind_natural,202504060401,2025-04-06,200,0,-200,13440,4400
C2_plus_125_plus_4wind_natural,202504070808,2025-04-07,4000,1780,-2220,11220,6620
C2_plus_125_plus_4wind_natural,202504080302,2025-04-08,100,0,-100,11120,6720
C2_plus_125_plus_4wind_natural,202504081307,2025-04-08,200,0,-200,10920,6920
C2_plus_125_plus_4wind_natural,202504081409,2025-04-08,100,0,-100,10820,7020
C2_plus_125_plus_4wind_natural,202504081707,2025-04-08,200,0,-200,10620,7220
C2_plus_125_plus_4wind_natural,202504082107,2025-04-08,200,870,670,11290,6550
C2_plus_125_plus_4wind_natural,202504090301,2025-04-09,100,0,-100,11190,6650
C2_plus_125_plus_4wind_natural,202504100210,2025-04-10,200,0,-200,10990,6850
C2_plus_125_plus_4wind_natural,202504100811,2025-04-10,4000,0,-4000,6990,10850
C2_plus_125_plus_4wind_natural,202504102306,2025-04-10,200,0,-200,6790,11050
C2_plus_125_plus_4wind_natural,202504102310,2025-04-10,200,0,-200,6590,11250
C2_plus_125_plus_4wind_natural,202504110303,2025-04-11,100,0,-100,6490,11350
C2_plus_125_plus_4wind_natural,202504120211,2025-04-12,200,0,-200,6290,11550
C2_plus_125_plus_4wind_natural,202504130212,2025-04-13,200,0,-200,6090,11750
C2_plus_125_plus_4wind_natural,202504130302,2025-04-13,100,0,-100,5990,11850
C2_plus_125_plus_4wind_natural,202504131512,2025-04-13,200,0,-200,5790,12050
C2_plus_125_plus_4wind_natural,202504131707,2025-04-13,200,0,-200,5590,12250
C2_plus_125_plus_4wind_natural,202504131710,2025-04-13,200,0,-200,5390,12450
C2_plus_125_plus_4wind_natural,202504132310,2025-04-13,200,0,-200,5190,12650
C2_plus_125_plus_4wind_natural,202504140406,2025-04-14,200,0,-200,4990,12850
C2_plus_125_plus_4wind_natural,202504141204,2025-04-14,200,0,-200,4790,13050
C2_plus_125_plus_4wind_natural,202504150407,2025-04-15,4000,0,-4000,790,17050
C2_plus_125_plus_4wind_natural,202504150608,2025-04-15,200,340,140,930,16910
C2_plus_125_plus_4wind_natural,202504160407,2025-04-16,200,0,-200,730,17110
C2_plus_125_plus_4wind_natural,202504160906,2025-04-16,200,990,790,1520,16320
C2_plus_125_plus_4wind_natural,202504170404,2025-04-17,4000,0,-4000,-2480,20320
C2_plus_125_plus_4wind_natural,202504180410,2025-04-18,200,2760,2560,80,17760
C2_plus_125_plus_4wind_natural,202504191308,2025-04-19,200,0,-200,-120,17960
C2_plus_125_plus_4wind_natural,202504192009,2025-04-19,200,0,-200,-320,18160
C2_plus_125_plus_4wind_natural,202504200909,2025-04-20,4000,0,-4000,-4320,22160
C2_plus_125_plus_4wind_natural,202504201308,2025-04-20,200,0,-200,-4520,22360
C2_plus_125_plus_4wind_natural,202504201407,2025-04-20,100,0,-100,-4620,22460
C2_plus_125_plus_4wind_natural,202504210907,2025-04-21,4000,0,-4000,-8620,26460
C2_plus_125_plus_4wind_natural,202504212007,2025-04-21,200,0,-200,-8820,26660
C2_plus_125_plus_4wind_natural,202504220212,2025-04-22,200,0,-200,-9020,26860
C2_plus_125_plus_4wind_natural,202504220804,2025-04-22,200,0,-200,-9220,27060
C2_plus_125_plus_4wind_natural,202504220807,2025-04-22,200,0,-200,-9420,27260
C2_plus_125_plus_4wind_natural,202504220909,2025-04-22,200,0,-200,-9620,27460
C2_plus_125_plus_4wind_natural,202504220910,2025-04-22,200,0,-200,-9820,27660
C2_plus_125_plus_4wind_natural,202504230901,2025-04-23,4000,0,-4000,-13820,31660
C2_plus_125_plus_4wind_natural,202504230905,2025-04-23,4000,336150,332150,318330,0
C2_plus_125_plus_4wind_natural,202504240210,2025-04-24,200,0,-200,318130,200
C2_plus_125_plus_4wind_natural,202504240409,2025-04-24,200,0,-200,317930,400
C2_plus_125_plus_4wind_natural,202504242110,2025-04-24,200,0,-200,317730,600
C2_plus_125_plus_4wind_natural,202504242111,2025-04-24,200,0,-200,317530,800
C2_plus_125_plus_4wind_natural,202504250307,2025-04-25,200,0,-200,317330,1000
C2_plus_125_plus_4wind_natural,202504251405,2025-04-25,100,0,-100,317230,1100
C2_plus_125_plus_4wind_natural,202504251407,2025-04-25,100,0,-100,317130,1200
C2_plus_125_plus_4wind_natural,202504251411,2025-04-25,200,0,-200,316930,1400
C2_plus_125_plus_4wind_natural,202504251412,2025-04-25,4000,0,-4000,312930,5400
C2_plus_125_plus_4wind_natural,202504260307,2025-04-26,200,0,-200,312730,5600
C2_plus_125_plus_4wind_natural,202504260601,2025-04-26,200,0,-200,312530,5800
C2_plus_125_plus_4wind_natural,202504261406,2025-04-26,4000,0,-4000,308530,9800
C2_plus_125_plus_4wind_natural,202504270407,2025-04-27,200,0,-200,308330,10000
C2_plus_125_plus_4wind_natural,202504270606,2025-04-27,200,0,-200,308130,10200
C2_plus_125_plus_4wind_natural,202504270608,2025-04-27,200,0,-200,307930,10400
C2_plus_125_plus_4wind_natural,202504270609,2025-04-27,200,0,-200,307730,10600
C2_plus_125_plus_4wind_natural,202504270611,2025-04-27,200,0,-200,307530,10800
C2_plus_125_plus_4wind_natural,202504271312,2025-04-27,200,0,-200,307330,11000
C2_plus_125_plus_4wind_natural,202504271402,2025-04-27,4000,2480,-1520,305810,12520
C2_plus_125_plus_4wind_natural,202504271407,2025-04-27,100,0,-100,305710,12620
C2_plus_125_plus_4wind_natural,202504280310,2025-04-28,200,0,-200,305510,12820
C2_plus_125_plus_4wind_natural,202504280401,2025-04-28,200,0,-200,305310,13020
C2_plus_125_plus_4wind_natural,202504280408,2025-04-28,200,0,-200,305110,13220
C2_plus_125_plus_4wind_natural,202504280506,2025-04-28,200,0,-200,304910,13420
C2_plus_125_plus_4wind_natural,202504290504,2025-04-29,200,0,-200,304710,13620
C2_plus_125_plus_4wind_natural,202504290606,2025-04-29,200,0,-200,304510,13820
C2_plus_125_plus_4wind_natural,202504291807,2025-04-29,200,0,-200,304310,14020
C2_plus_125_plus_4wind_natural,202504291808,2025-04-29,200,0,-200,304110,14220
C2_plus_125_plus_4wind_natural,202504292301,2025-04-29,200,0,-200,303910,14420
C2_plus_125_plus_4wind_natural,202504292308,2025-04-29,200,0,-200,303710,14620
C2_plus_125_plus_4wind_natural,202504301308,2025-04-30,200,0,-200,303510,14820
C2_plus_125_plus_4wind_natural,202504301407,2025-04-30,4000,0,-4000,299510,18820
C2_plus_125_plus_4wind_natural,202505011104,2025-05-01,4000,0,-4000,295510,22820
C2_plus_125_plus_4wind_natural,202505011110,2025-05-01,200,0,-200,295310,23020
C2_plus_125_plus_4wind_natural,202505011112,2025-05-01,4000,0,-4000,291310,27020
C2_plus_125_plus_4wind_natural,202505012307,2025-05-01,200,0,-200,291110,27220
C2_plus_125_plus_4wind_natural,202505020612,2025-05-02,200,0,-200,290910,27420
C2_plus_125_plus_4wind_natural,202505021003,2025-05-02,200,0,-200,290710,27620
C2_plus_125_plus_4wind_natural,202505031202,2025-05-03,100,0,-100,290610,27720
C2_plus_125_plus_4wind_natural,202505031203,2025-05-03,100,0,-100,290510,27820
C2_plus_125_plus_4wind_natural,202505031204,2025-05-03,100,0,-100,290410,27920
C2_plus_125_plus_4wind_natural,202505032201,2025-05-03,200,0,-200,290210,28120
C2_plus_125_plus_4wind_natural,202505032303,2025-05-03,200,0,-200,290010,28320
C2_plus_125_plus_4wind_natural,202505040610,2025-05-04,200,0,-200,289810,28520
C2_plus_125_plus_4wind_natural,202505040904,2025-05-04,200,0,-200,289610,28720
C2_plus_125_plus_4wind_natural,202505041103,2025-05-04,4000,1330,-2670,286940,31390
C2_plus_125_plus_4wind_natural,202505041306,2025-05-04,200,0,-200,286740,31590
C2_plus_125_plus_4wind_natural,202505041604,2025-05-04,200,0,-200,286540,31790
C2_plus_125_plus_4wind_natural,202505042301,2025-05-04,200,0,-200,286340,31990
C2_plus_125_plus_4wind_natural,202505050107,2025-05-05,200,0,-200,286140,32190
C2_plus_125_plus_4wind_natural,202505050108,2025-05-05,200,0,-200,285940,32390
C2_plus_125_plus_4wind_natural,202505050412,2025-05-05,200,0,-200,285740,32590
C2_plus_125_plus_4wind_natural,202505051408,2025-05-05,100,0,-100,285640,32690
C2_plus_125_plus_4wind_natural,202505052110,2025-05-05,200,0,-200,285440,32890
C2_plus_125_plus_4wind_natural,202505070603,2025-05-07,200,0,-200,285240,33090
C2_plus_125_plus_4wind_natural,202505071202,2025-05-07,100,0,-100,285140,33190
C2_plus_125_plus_4wind_natural,202505071403,2025-05-07,200,0,-200,284940,33390
C2_plus_125_plus_4wind_natural,202505071405,2025-05-07,200,0,-200,284740,33590
C2_plus_125_plus_4wind_natural,202505071603,2025-05-07,200,0,-200,284540,33790
C2_plus_125_plus_4wind_natural,202505071605,2025-05-07,200,0,-200,284340,33990
C2_plus_125_plus_4wind_natural,202505071608,2025-05-07,200,0,-200,284140,34190
C2_plus_125_plus_4wind_natural,202505071906,2025-05-07,200,0,-200,283940,34390
C2_plus_125_plus_4wind_natural,202505080306,2025-05-08,100,0,-100,283840,34490
C2_plus_125_plus_4wind_natural,202505080308,2025-05-08,200,0,-200,283640,34690
C2_plus_125_plus_4wind_natural,202505081409,2025-05-08,100,0,-100,283540,34790
C2_plus_125_plus_4wind_natural,202505082007,2025-05-08,200,0,-200,283340,34990
C2_plus_125_plus_4wind_natural,202505082009,2025-05-08,200,0,-200,283140,35190
C2_plus_125_plus_4wind_natural,202505090302,2025-05-09,100,0,-100,283040,35290
