strategy,race_id,race_date,bet_amount,payout,profit,cumulative_profit,drawdown
C2_plus_125_x20_plus_4wind_x5,202504010101,2025-04-01,4000,0,-4000,-4000,4000
C2_plus_125_x20_plus_4wind_x5,202504010111,2025-04-01,4000,0,-4000,-8000,8000
C2_plus_125_x20_plus_4wind_x5,202504012107,2025-04-01,2000,0,-2000,-10000,10000
C2_plus_125_x20_plus_4wind_x5,202504020408,2025-04-02,1000,0,-1000,-11000,11000
C2_plus_125_x20_plus_4wind_x5,202504021202,2025-04-02,2000,0,-2000,-13000,13000
C2_plus_125_x20_plus_4wind_x5,202504021808,2025-04-02,1000,0,-1000,-14000,14000
C2_plus_125_x20_plus_4wind_x5,202504021811,2025-04-02,1000,0,-1000,-15000,15000
C2_plus_125_x20_plus_4wind_x5,202504030704,2025-04-03,1000,0,-1000,-16000,16000
C2_plus_125_x20_plus_4wind_x5,202504040202,2025-04-04,1000,1900,900,-15100,15100
C2_plus_125_x20_plus_4wind_x5,202504040204,2025-04-04,1000,0,-1000,-16100,16100
C2_plus_125_x20_plus_4wind_x5,202504040208,2025-04-04,1000,3950,2950,-13150,13150
C2_plus_125_x20_plus_4wind_x5,202504040904,2025-04-04,1000,0,-1000,-14150,14150
C2_plus_125_x20_plus_4wind_x5,202504040909,2025-04-04,1000,0,-1000,-15150,15150
C2_plus_125_x20_plus_4wind_x5,202504050101,2025-04-05,4000,0,-4000,-19150,19150
C2_plus_125_x20_plus_4wind_x5,202504050112,2025-04-05,4000,34670,30670,11520,0
C2_plus_125_x20_plus_4wind_x5,202504051201,2025-04-05,2000,0,-2000,9520,2000
C2_plus_125_x20_plus_4wind_x5,202504051202,2025-04-05,2000,0,-2000,7520,4000
C2_plus_125_x20_plus_4wind_x5,202504060104,2025-04-06,4000,0,-4000,3520,8000
C2_plus_125_x20_plus_4wind_x5,202504060401,2025-04-06,1000,0,-1000,2520,9000
C2_plus_125_x20_plus_4wind_x5,202504070808,2025-04-07,4000,1780,-2220,300,11220
C2_plus_125_x20_plus_4wind_x5,202504080302,2025-04-08,2000,0,-2000,-1700,13220
C2_plus_125_x20_plus_4wind_x5,202504081307,2025-04-08,1000,0,-1000,-2700,14220
C2_plus_125_x20_plus_4wind_x5,202504081409,2025-04-08,2000,0,-2000,-4700,16220
C2_plus_125_x20_plus_4wind_x5,202504081707,2025-04-08,1000,0,-1000,-5700,17220
C2_plus_125_x20_plus_4wind_x5,202504082107,2025-04-08,1000,4350,3350,-2350,13870
C2_plus_125_x20_plus_4wind_x5,202504090301,2025-04-09,2000,0,-2000,-4350,15870
C2_plus_125_x20_plus_4wind_x5,202504100210,2025-04-10,1000,0,-1000,-5350,16870
C2_plus_125_x20_plus_4wind_x5,202504100811,2025-04-10,4000,0,-4000,-9350,20870
C2_plus_125_x20_plus_4wind_x5,202504102306,2025-04-10,1000,0,-1000,-10350,21870
C2_plus_125_x20_plus_4wind_x5,202504102310,2025-04-10,1000,0,-1000,-11350,22870
C2_plus_125_x20_plus_4wind_x5,202504110303,2025-04-11,2000,0,-2000,-13350,24870
C2_plus_125_x20_plus_4wind_x5,202504120211,2025-04-12,1000,0,-1000,-14350,25870
C2_plus_125_x20_plus_4wind_x5,202504130212,2025-04-13,1000,0,-1000,-15350,26870
C2_plus_125_x20_plus_4wind_x5,202504130302,2025-04-13,2000,0,-2000,-17350,28870
C2_plus_125_x20_plus_4wind_x5,202504131512,2025-04-13,1000,0,-1000,-18350,29870
C2_plus_125_x20_plus_4wind_x5,202504131707,2025-04-13,1000,0,-1000,-19350,30870
C2_plus_125_x20_plus_4wind_x5,202504131710,2025-04-13,1000,0,-1000,-20350,31870
C2_plus_125_x20_plus_4wind_x5,202504132310,2025-04-13,1000,0,-1000,-21350,32870
C2_plus_125_x20_plus_4wind_x5,202504140406,2025-04-14,1000,0,-1000,-22350,33870
C2_plus_125_x20_plus_4wind_x5,202504141204,2025-04-14,1000,0,-1000,-23350,34870
C2_plus_125_x20_plus_4wind_x5,202504150407,2025-04-15,4000,0,-4000,-27350,38870
C2_plus_125_x20_plus_4wind_x5,202504150608,2025-04-15,1000,1700,700,-26650,38170
C2_plus_125_x20_plus_4wind_x5,202504160407,2025-04-16,1000,0,-1000,-27650,39170
C2_plus_125_x20_plus_4wind_x5,202504160906,2025-04-16,1000,4950,3950,-23700,35220
C2_plus_125_x20_plus_4wind_x5,202504170404,2025-04-17,4000,0,-4000,-27700,39220
C2_plus_125_x20_plus_4wind_x5,202504180410,2025-04-18,1000,13800,12800,-14900,26420
C2_plus_125_x20_plus_4wind_x5,202504191308,2025-04-19,1000,0,-1000,-15900,27420
C2_plus_125_x20_plus_4wind_x5,202504192009,2025-04-19,1000,0,-1000,-16900,28420
C2_plus_125_x20_plus_4wind_x5,202504200909,2025-04-20,4000,0,-4000,-20900,32420
C2_plus_125_x20_plus_4wind_x5,202504201308,2025-04-20,1000,0,-1000,-21900,33420
C2_plus_125_x20_plus_4wind_x5,202504201407,2025-04-20,2000,0,-2000,-23900,35420
C2_plus_125_x20_plus_4wind_x5,202504210907,2025-04-21,4000,0,-4000,-27900,39420
C2_plus_125_x20_plus_4wind_x5,202504212007,2025-04-21,1000,0,-1000,-28900,40420
C2_plus_125_x20_plus_4wind_x5,202504220212,2025-04-22,1000,0,-1000,-29900,41420
C2_plus_125_x20_plus_4wind_x5,202504220804,2025-04-22,1000,0,-1000,-30900,42420
