strategy,race_id,race_date,bet_amount,payout,profit,cumulative_profit,drawdown
C2_plus_125_x20,202504010101,2025-04-01,4000,0,-4000,-4000,4000
C2_plus_125_x20,202504010111,2025-04-01,4000,0,-4000,-8000,8000
C2_plus_125_x20,202504012107,2025-04-01,2000,0,-2000,-10000,10000
C2_plus_125_x20,202504021202,2025-04-02,2000,0,-2000,-12000,12000
C2_plus_125_x20,202504050101,2025-04-05,4000,0,-4000,-16000,16000
C2_plus_125_x20,202504050112,2025-04-05,4000,34670,30670,14670,0
C2_plus_125_x20,202504051201,2025-04-05,2000,0,-2000,12670,2000
C2_plus_125_x20,202504051202,2025-04-05,2000,0,-2000,10670,4000
C2_plus_125_x20,202504060104,2025-04-06,4000,0,-4000,6670,8000
C2_plus_125_x20,202504070808,2025-04-07,4000,1780,-2220,4450,10220
C2_plus_125_x20,202504080302,2025-04-08,2000,0,-2000,2450,12220
C2_plus_125_x20,202504081409,2025-04-08,2000,0,-2000,450,14220
C2_plus_125_x20,202504090301,2025-04-09,2000,0,-2000,-1550,16220
C2_plus_125_x20,202504100811,2025-04-10,4000,0,-4000,-5550,20220
C2_plus_125_x20,202504110303,2025-04-11,2000,0,-2000,-7550,22220
C2_plus_125_x20,202504130302,2025-04-13,2000,0,-2000,-9550,24220
C2_plus_125_x20,202504150407,2025-04-15,4000,0,-4000,-13550,28220
C2_plus_125_x20,202504170404,2025-04-17,4000,0,-4000,-17550,32220
C2_plus_125_x20,202504200909,2025-04-20,4000,0,-4000,-21550,36220
C2_plus_125_x20,202504201407,2025-04-20,2000,0,-2000,-23550,38220
C2_plus_125_x20,202504210907,2025-04-21,4000,0,-4000,-27550,42220
C2_plus_125_x20,202504230901,2025-04-23,4000,0,-4000,-31550,46220
C2_plus_125_x20,202504230905,2025-04-23,4000,336150,332150,300600,0
C2_plus_125_x20,202504251405,2025-04-25,2000,0,-2000,298600,2000
C2_plus_125_x20,202504251407,2025-04-25,2000,0,-2000,296600,4000
C2_plus_125_x20,202504251412,2025-04-25,4000,0,-4000,292600,8000
C2_plus_125_x20,202504261406,2025-04-26,4000,0,-4000,288600,12000
C2_plus_125_x20,202504271402,2025-04-27,4000,2480,-1520,287080,13520
C2_plus_125_x20,202504271407,2025-04-27,2000,0,-2000,285080,15520
C2_plus_125_x20,202504301407,2025-04-30,4000,0,-4000,281080,19520
C2_plus_125_x20,202505011104,2025-05-01,4000,0,-4000,277080,23520
C2_plus_125_x20,202505011112,2025-05-01,4000,0,-4000,273080,27520
C2_plus_125_x20,202505031202,2025-05-03,2000,0,-2000,271080,29520
C2_plus_125_x20,202505031203,2025-05-03,2000,0,-2000,269080,31520
C2_plus_125_x20,202505031204,2025-05-03,2000,0,-2000,267080,33520
C2_plus_125_x20,202505041103,2025-05-04,4000,1330,-2670,264410,36190
C2_plus_125_x20,202505051408,2025-05-05,2000,0,-2000,262410,38190
C2_plus_125_x20,202505071202,2025-05-07,2000,0,-2000,260410,40190
C2_plus_125_x20,202505080306,2025-05-08,2000,0,-2000,258410,42190
C2_plus_125_x20,202505081409,2025-05-08,2000,0,-2000,256410,44190
C2_plus_125_x20,202505090302,2025-05-09,2000,0,-2000,254410,46190
C2_plus_125_x20,202505111904,2025-05-11,4000,31630,27630,282040,18560
C2_plus_125_x20,202505111909,2025-05-11,4000,14410,10410,292450,8150
C2_plus_125_x20,202505130803,2025-05-13,4000,0,-4000,288450,12150
C2_plus_125_x20,202505131202,2025-05-13,2000,0,-2000,286450,14150
C2_plus_125_x20,202505140805,2025-05-14,4000,21670,17670,304120,0
C2_plus_125_x20,202505160304,2025-05-16,2000,0,-2000,302120,2000
C2_plus_125_x20,202505160802,2025-05-16,4000,4840,840,302960,1160
C2_plus_125_x20,202505161204,2025-05-16,2000,0,-2000,300960,3160
C2_plus_125_x20,202505162107,2025-05-16,2000,0,-2000,298960,5160
C2_plus_125_x20,202505170810,2025-05-17,4000,6740,2740,301700,2420
C2_plus_125_x20,202505201405,2025-05-20,2000,0,-2000,299700,4420
C2_plus_125_x20,202505222401,2025-05-22,4000,0,-4000,295700,8420
C2_plus_125_x20,202505240303,2025-05-24,2000,0,-2000,293700,10420
C2_plus_125_x20,202505240308,2025-05-24,2000,0,-2000,291700,12420
C2_plus_125_x20,202505241202,2025-05-24,2000,0,-2000,289700,14420
C2_plus_125_x20,202505242402,2025-05-24,4000,3960,-40,289660,14460
C2_plus_125_x20,202505250301,2025-05-25,2000,0,-2000,287660,16460
C2_plus_125_x20,202505252101,2025-05-25,4000,4000,0,287660,16460
C2_plus_125_x20,202505252107,2025-05-25,2000,0,-2000,285660,18460
C2_plus_125_x20,202505260301,2025-05-26,2000,0,-2000,283660,20460
C2_plus_125_x20,202505262107,2025-05-26,4000,0,-4000,279660,24460
C2_plus_125_x20,202505272110,2025-05-27,4000,14400,10400,290060,14060
C2_plus_125_x20,202505280308,2025-05-28,2000,0,-2000,288060,16060
C2_plus_125_x20,202505282103,2025-05-28,4000,7140,3140,291200,12920
C2_plus_125_x20,202505282110,2025-05-28,4000,0,-4000,287200,16920
C2_plus_125_x20,202505292107,2025-05-29,6000,0,-6000,281200,22920
C2_plus_125_x20,202505292111,2025-05-29,4000,0,-4000,277200,26920
