strategy,race_id,race_date,bet_amount,payout,profit,cumulative_profit,drawdown
C2_provisional_v1,202504010101,2025-04-01,4000,0,-4000,-4000,4000
C2_provisional_v1,202504010111,2025-04-01,4000,0,-4000,-8000,8000
C2_provisional_v1,202504050101,2025-04-05,4000,0,-4000,-12000,12000
C2_provisional_v1,202504050112,2025-04-05,4000,34670,30670,18670,0
C2_provisional_v1,202504060104,2025-04-06,4000,0,-4000,14670,4000
C2_provisional_v1,202504070808,2025-04-07,4000,1780,-2220,12450,6220
C2_provisional_v1,202504100811,2025-04-10,4000,0,-4000,8450,10220
C2_provisional_v1,202504150407,2025-04-15,4000,0,-4000,4450,14220
C2_provisional_v1,202504170404,2025-04-17,4000,0,-4000,450,18220
C2_provisional_v1,202504200909,2025-04-20,4000,0,-4000,-3550,22220
C2_provisional_v1,202504210907,2025-04-21,4000,0,-4000,-7550,26220
C2_provisional_v1,202504230901,2025-04-23,4000,0,-4000,-11550,30220
C2_provisional_v1,202504230905,2025-04-23,4000,336150,332150,320600,0
C2_provisional_v1,202504251412,2025-04-25,4000,0,-4000,316600,4000
C2_provisional_v1,202504261406,2025-04-26,4000,0,-4000,312600,8000
C2_provisional_v1,202504271402,2025-04-27,4000,2480,-1520,311080,9520
C2_provisional_v1,202504301407,2025-04-30,4000,0,-4000,307080,13520
C2_provisional_v1,202505011104,2025-05-01,4000,0,-4000,303080,17520
C2_provisional_v1,202505011112,2025-05-01,4000,0,-4000,299080,21520
C2_provisional_v1,202505041103,2025-05-04,4000,1330,-2670,296410,24190
C2_provisional_v1,202505111904,2025-05-11,4000,31630,27630,324040,0
C2_provisional_v1,202505111909,2025-05-11,4000,14410,10410,334450,0
C2_provisional_v1,202505130803,2025-05-13,4000,0,-4000,330450,4000
C2_provisional_v1,202505140805,2025-05-14,4000,21670,17670,348120,0
C2_provisional_v1,202505160802,2025-05-16,4000,4840,840,348960,0
C2_provisional_v1,202505170810,2025-05-17,4000,6740,2740,351700,0
C2_provisional_v1,202505222401,2025-05-22,4000,0,-4000,347700,4000
C2_provisional_v1,202505242402,2025-05-24,4000,3960,-40,347660,4040
C2_provisional_v1,202505252101,2025-05-25,4000,4000,0,347660,4040
C2_provisional_v1,202505262107,2025-05-26,4000,0,-4000,343660,8040
C2_provisional_v1,202505272110,2025-05-27,4000,14400,10400,354060,0
C2_provisional_v1,202505282103,2025-05-28,4000,7140,3140,357200,0
C2_provisional_v1,202505282110,2025-05-28,4000,0,-4000,353200,4000
C2_provisional_v1,202505292107,2025-05-29,4000,0,-4000,349200,8000
C2_provisional_v1,202505292111,2025-05-29,4000,0,-4000,345200,12000
C2_provisional_v1,202505302102,2025-05-30,4000,21450,17450,362650,0
