variant_name,payout_bucket_low_x,payout_bucket_high_x,races,bet_count,hit_races,return_yen,stake_yen,roi_pct,hit_race_pct,avg_settled_payout_yen
415,0.0,9.0,617,1234,80,53420,123400,43.29,12.97,517.26
415,10.0,19.0,349,698,85,122160,69800,175.01,24.36,1441.35
415,20.0,29.0,171,342,50,122280,34200,357.54,29.24,2449.77
415,30.0,39.0,106,212,23,78880,21200,372.08,21.7,3459.43
415,40.0,49.0,55,110,10,45130,11000,410.27,18.18,4454.36
415,50.0,59.0,43,86,3,15990,8600,185.93,6.98,5494.42
415,60.0,69.0,31,62,6,39120,6200,630.97,19.35,6545.81
415,70.0,79.0,26,52,2,15000,5200,288.46,7.69,7424.62
415,80.0,89.0,15,30,1,8230,3000,274.33,6.67,8543.33
415,90.0,99.0,13,26,2,19090,2600,734.23,15.38,9445.38
415,100.0,109.0,10,20,1,10460,2000,523.0,10.0,10398.0
415,110.0,119.0,5,10,1,11810,1000,1181.0,20.0,11510.0
415,120.0,129.0,6,12,0,0,1200,0.0,0.0,12388.33
415,130.0,139.0,4,8,1,13110,800,1638.75,25.0,13347.5
415,140.0,149.0,2,4,0,0,400,0.0,0.0,14595.0
415,150.0,159.0,4,8,0,0,800,0.0,0.0,15475.0
415,160.0,169.0,6,12,0,0,1200,0.0,0.0,16538.33
415,170.0,179.0,3,6,1,17010,600,2835.0,33.33,17586.67
415,180.0,189.0,4,8,0,0,800,0.0,0.0,18490.0
415,190.0,199.0,5,10,1,19630,1000,1963.0,20.0,19514.0
415,200.0,209.0,2,4,0,0,400,0.0,0.0,20130.0
415,210.0,219.0,1,2,0,0,200,0.0,0.0,21800.0
415,220.0,229.0,2,4,0,0,400,0.0,0.0,22370.0
415,230.0,239.0,1,2,0,0,200,0.0,0.0,23480.0
415,240.0,249.0,1,2,0,0,200,0.0,0.0,24690.0
415,250.0,259.0,2,4,0,0,400,0.0,0.0,25780.0
415,270.0,279.0,2,4,0,0,400,0.0,0.0,27290.0
415,330.0,339.0,1,2,0,0,200,0.0,0.0,33560.0
415,390.0,399.0,1,2,0,0,200,0.0,0.0,39370.0
415,490.0,499.0,1,2,0,0,200,0.0,0.0,49330.0
4156,0.0,9.0,617,1851,87,57600,185100,31.12,14.1,517.26
4156,10.0,19.0,349,1047,116,167180,104700,159.68,33.24,1441.35
4156,20.0,29.0,171,513,63,154890,51300,301.93,36.84,2449.77
4156,30.0,39.0,106,318,31,106070,31800,333.55,29.25,3459.43
4156,40.0,49.0,55,165,15,67380,16500,408.36,27.27,4454.36
4156,50.0,59.0,43,129,11,60950,12900,472.48,25.58,5494.42
4156,60.0,69.0,31,93,7,45420,9300,488.39,22.58,6545.81
4156,70.0,79.0,26,78,8,58730,7800,752.95,30.77,7424.62
4156,80.0,89.0,15,45,1,8230,4500,182.89,6.67,8543.33
4156,90.0,99.0,13,39,3,28630,3900,734.1,23.08,9445.38
4156,100.0,109.0,10,30,1,10460,3000,348.67,10.0,10398.0
4156,110.0,119.0,5,15,1,11810,1500,787.33,20.0,11510.0
4156,120.0,129.0,6,18,0,0,1800,0.0,0.0,12388.33
4156,130.0,139.0,4,12,1,13110,1200,1092.5,25.0,13347.5
4156,140.0,149.0,2,6,0,0,600,0.0,0.0,14595.0
4156,150.0,159.0,4,12,0,0,1200,0.0,0.0,15475.0
4156,160.0,169.0,6,18,0,0,1800,0.0,0.0,16538.33
4156,170.0,179.0,3,9,1,17010,900,1890.0,33.33,17586.67
4156,180.0,189.0,4,12,0,0,1200,0.0,0.0,18490.0
4156,190.0,199.0,5,15,1,19630,1500,1308.67,20.0,19514.0
4156,200.0,209.0,2,6,0,0,600,0.0,0.0,20130.0
4156,210.0,219.0,1,3,0,0,300,0.0,0.0,21800.0
4156,220.0,229.0,2,6,0,0,600,0.0,0.0,22370.0
4156,230.0,239.0,1,3,0,0,300,0.0,0.0,23480.0
4156,240.0,249.0,1,3,0,0,300,0.0,0.0,24690.0
4156,250.0,259.0,2,6,0,0,600,0.0,0.0,25780.0
4156,270.0,279.0,2,6,0,0,600,0.0,0.0,27290.0
4156,330.0,339.0,1,3,0,0,300,0.0,0.0,33560.0
4156,390.0,399.0,1,3,0,0,300,0.0,0.0,39370.0
4156,490.0,499.0,1,3,0,0,300,0.0,0.0,49330.0
