year,exacta_combo,hit_races,return_yen,stake_yen,combo_roi_pct
2024,4-5,70,196640,500,39328.0
2024,4-2,37,141810,500,28362.0
2024,4-6,42,140040,500,28008.0
2024,4-1,61,119560,500,23912.0
2024,4-3,22,68510,500,13702.0
2025,4-5,55,132610,500,26522.0
2025,4-1,56,92250,500,18450.0
2025,4-6,32,80610,500,16122.0
2025,4-2,24,58220,500,11644.0
2025,4-3,21,52970,500,10594.0
2026,4-3,9,40620,500,8124.0
2026,4-5,11,26170,500,5234.0
2026,4-1,14,24090,500,4818.0
2026,4-6,6,15130,500,3026.0
2026,4-2,4,9780,500,1956.0
