strategy_name,source_hypothesis_id,race_id,race_date,stadium_code,stadium_name,race_no,bet_type,combo,is_hit,realized_payout,notes
Gemini_H001_Exacta_L2_Pressure,H-001,202401011410,2024-01-01,14,鳴門,10,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202401011410,2024-01-01,14,鳴門,10,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202401011410,2024-01-01,14,鳴門,10,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202401011904,2024-01-01,19,下関,4,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202401011904,2024-01-01,19,下関,4,2連単,2-3,1,290,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202401011904,2024-01-01,19,下関,4,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202401011906,2024-01-01,19,下関,6,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202401011906,2024-01-01,19,下関,6,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202401011906,2024-01-01,19,下関,6,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202401012407,2024-01-01,24,大村,7,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202401012407,2024-01-01,24,大村,7,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202401012407,2024-01-01,24,大村,7,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202401021207,2024-01-02,12,住之江,7,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202401021207,2024-01-02,12,住之江,7,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202401021207,2024-01-02,12,住之江,7,2連単,2-4,0,0,Normalized H-001 exacta
