strategy_name,skip_reason,skip_count
Gemini_H001_Exacta_L2_Pressure,lane1_not_weak_enough,37627
Gemini_H001_Exacta_L2_Pressure,lane2_not_fast_enough,8429
Gemini_H001_Exacta_L2_Pressure,lane2_st_edge_missing,6762
Gemini_H001_Exacta_L2_Pressure,lane2_st_diff_missing,1372
Gemini_H001_Exacta_L2_Pressure,exacta_result_missing,790
Gemini_H002_Exacta_L4_WindyAttack,wind_not_target,37813
Gemini_H002_Exacta_L4_WindyAttack,lane4_st_edge_missing,12840
Gemini_H002_Exacta_L4_WindyAttack,lane4_not_fast_enough,1587
Gemini_H002_Exacta_L4_WindyAttack,lane4_st_diff_missing,1500
Gemini_H002_Exacta_L4_WindyAttack,exacta_result_missing,790
Gemini_H003_Trifecta_InnerA1Wall,a1_count_not_2,44571
Gemini_H003_Trifecta_InnerA1Wall,lane1_class_not_a1,5640
Gemini_H003_Trifecta_InnerA1Wall,lane23_no_a1_wall,3042
Gemini_H003_Trifecta_InnerA1Wall,trifecta_result_missing,790
Gemini_H003_Trifecta_InnerA1Wall,lane4_too_strong,530
Gemini_H004_Exacta_HometownRoughWater,wave_not_target,48512
Gemini_H004_Exacta_HometownRoughWater,lane1_not_hometown,4981
Gemini_H004_Exacta_HometownRoughWater,exacta_result_missing,790
Gemini_H004_Exacta_HometownRoughWater,lane1_not_fast_enough,634
Gemini_H005_Trifecta_L5_OverlookedRocket,lane5_not_best_ex,27463
Gemini_H005_Trifecta_L5_OverlookedRocket,lane5_not_underestimated,23307
Gemini_H005_Trifecta_L5_OverlookedRocket,lane4_delay_not_enough,2333
Gemini_H005_Trifecta_L5_OverlookedRocket,lane4_st_diff_missing,1500
Gemini_H005_Trifecta_L5_OverlookedRocket,trifecta_result_missing,790
