strategy_name,source_hypothesis_id,race_id,race_date,stadium_code,stadium_name,race_no,combo_count,settled_combo,is_hit,stake_yen,realized_payout,notes
GPT_HA_Trifecta_WeakInsideBias,A,202401010705,2024-01-01,07,蒲郡,5,40,1-4-2,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401021201,2024-01-02,12,住之江,1,40,3-4-2,1,4000,7930,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401022002,2024-01-02,20,若松,2,40,1-3-4,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401030401,2024-01-03,04,平和島,1,40,3-1-6,1,4000,22320,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401031707,2024-01-03,17,宮島,7,40,1-4-3,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401032204,2024-01-03,22,福岡,4,40,3-5-2,1,4000,5000,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401032408,2024-01-03,24,大村,8,40,1-2-3,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401040702,2024-01-04,07,蒲郡,2,40,2-5-1,1,4000,5810,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401040801,2024-01-04,08,常滑,1,40,1-4-3,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401041104,2024-01-04,11,びわこ,4,40,1-2-4,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401041903,2024-01-04,19,下関,3,40,5-2-1,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401050201,2024-01-05,02,戸田,1,40,3-1-2,1,4000,19670,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401050502,2024-01-05,05,多摩川,2,40,2-6-5,1,4000,3720,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401051304,2024-01-05,13,尼崎,4,40,2-3-1,1,4000,1380,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401051906,2024-01-05,19,下関,6,40,3-1-2,1,4000,26970,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401052206,2024-01-05,22,福岡,6,40,5-1-3,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401052309,2024-01-05,23,唐津,9,40,1-3-2,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401061807,2024-01-06,18,徳山,7,40,2-6-4,1,4000,6530,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401061904,2024-01-06,19,下関,4,40,2-1-6,1,4000,1290,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401062204,2024-01-06,22,福岡,4,40,1-3-2,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401070207,2024-01-07,02,戸田,7,40,2-5-4,1,4000,2700,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401070602,2024-01-07,06,浜名湖,2,40,3-6-2,1,4000,1680,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401072212,2024-01-07,22,福岡,12,40,4-2-1,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401081806,2024-01-08,18,徳山,6,40,1-6-4,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401091504,2024-01-09,15,丸亀,4,40,3-2-1,1,4000,9500,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401100812,2024-01-10,08,常滑,12,40,1-5-2,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401102106,2024-01-10,21,芦屋,6,40,1-5-4,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401110904,2024-01-11,09,津,4,40,1-2-6,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401111806,2024-01-11,18,徳山,6,40,5-4-2,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401111812,2024-01-11,18,徳山,12,40,1-2-3,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401112007,2024-01-11,20,若松,7,40,1-3-6,0,4000,0,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
GPT_HA_Trifecta_WeakInsideBias,A,202401131301,2024-01-13,13,尼崎,1,40,3-4-1,1,4000,2360,H-A: weak-but-not-obviously-weak lane1 -> 2/3 head trifecta spray
