exclude_lane,rule,sample,hits,hit_rate_pct,baseline_hit_rate_pct,lift_vs_baseline,roi_pct
1,l1_st_gap_ge_005 & l4_class_eq_B2,543,24,4.42,3.36,1.32,236.69
1,l1_slowest_exh & l1_worst_st,985,124,12.59,3.36,3.75,169.6
1,l1_worst_nat & l1_worst_motor,273,43,15.75,3.36,4.69,166.39
1,l1_worst_st & wave_ge_4,1277,113,8.85,3.36,2.63,159.11
1,l1_worst_st & wind_ge_4,1771,149,8.41,3.36,2.5,158.78
1,l1_worst_st & wave_5_6,588,58,9.86,3.36,2.93,141.09
1,l1_worst_motor & l1_slowest_exh,274,21,7.66,3.36,2.28,136.7
1,l1_worst_st & l1_st_gap_ge_005,4227,309,7.31,3.36,2.18,131.23
1,l1_class_le_B1 & l1_worst_st,2518,272,10.8,3.36,3.21,129.23
1,l1_st_gap_ge_005 & wind_ge_4,2943,189,6.42,3.36,1.91,128.99
1,l1_class_eq_B2 & l1_st_gap_ge_005,251,32,12.75,3.36,3.79,128.63
1,l1_worst_st & wind_3_4,1881,144,7.66,3.36,2.28,128.33
1,l1_worst_st & l1_exh_gap_ge_002,2535,212,8.36,3.36,2.49,127.67
1,l1_exh_gap_ge_002 & l1_st_gap_ge_005,4369,300,6.87,3.36,2.04,126.25
1,l1_worst_nat & l1_worst_st,1169,165,14.11,3.36,4.2,125.82
1,l1_slowest_exh & l1_st_gap_ge_005,1251,107,8.55,3.36,2.54,123.41
1,l1_slowest_exh & wave_5_6,474,32,6.75,3.36,2.01,118.44
1,l1_slowest_exh & wave_ge_4,1025,71,6.93,3.36,2.06,117.1
1,l1_class_le_B1 & l1_st_gap_ge_005,4097,342,8.35,3.36,2.48,116.93
1,l1_st_gap_ge_005 & wind_3_4,3112,178,5.72,3.36,1.7,114.78
1,l1_st_gap_ge_005 & wave_ge_4,2100,135,6.43,3.36,1.91,111.7
1,l1_worst_nat & l1_st_gap_ge_005,1770,206,11.64,3.36,3.46,110.5
1,l1_slowest_exh & wind_ge_4,1400,96,6.86,3.36,2.04,106.3
1,l1_class_le_B1 & l1_worst_motor,705,61,8.65,3.36,2.57,103.71
1,l1_worst_class & l1_worst_st,276,51,18.48,3.36,5.5,103.2
1,l1_class_eq_B2 & wind_ge_4,201,23,11.44,3.36,3.4,101.9
1,l1_class_le_B1 & final_day,542,26,4.8,3.36,1.43,95.63
1,l1_worst_nat & l1_slowest_exh,851,105,12.34,3.36,3.67,93.18
1,l1_st_gap_ge_005 & wave_5_6,943,60,6.36,3.36,1.89,92.56
1,l1_worst_class & l1_st_gap_ge_005,424,58,13.68,3.36,4.07,91.58
1,l1_st_gap_ge_005 & final_day,571,24,4.2,3.36,1.25,89.9
1,l1_worst_nat & l1_exh_gap_ge_002,2656,248,9.34,3.36,2.78,89.33
1,l1_worst_nat & wind_3_4,1728,140,8.1,3.36,2.41,88.99
1,l1_worst_motor & l1_exh_gap_ge_002,923,55,5.96,3.36,1.77,88.08
1,l1_class_eq_B2 & l1_exh_gap_ge_002,328,27,8.23,3.36,2.45,87.57
1,l1_worst_motor & l1_st_gap_ge_005,733,48,6.55,3.36,1.95,87.03
1,l1_slowest_exh & wind_3_4,1490,90,6.04,3.36,1.8,86.65
1,l1_class_le_B1 & wind_ge_4,3842,236,6.14,3.36,1.83,86.13
1,l1_class_le_B1 & l1_worst_nat,3949,366,9.27,3.36,2.76,85.8
1,l1_class_le_B1 & l1_slowest_exh,1843,162,8.79,3.36,2.62,85.63
1,l1_exh_gap_ge_002 & wind_ge_4,4770,214,4.49,3.36,1.33,84.73
1,wind_ge_4 & wave_5_6,2818,118,4.19,3.36,1.25,83.44
1,l1_class_eq_B2 & l1_worst_nat,330,41,12.42,3.36,3.7,81.82
1,l1_class_le_B1 & wave_ge_4,2865,180,6.28,3.36,1.87,79.49
1,l1_exh_gap_ge_002 & wave_5_6,1597,71,4.45,3.36,1.32,79.28
1,l1_class_le_B1 & l4_class_eq_B2,845,24,2.84,3.36,0.85,78.96
1,wave_ge_4 & wave_5_6,3127,130,4.16,3.36,1.24,78.8
1,l1_worst_nat & wind_ge_4,1626,137,8.43,3.36,2.51,77.26
1,l1_class_le_B1 & l1_exh_gap_ge_002,6082,375,6.17,3.36,1.83,77.09
1,wind_ge_4 & wave_ge_4,6550,253,3.86,3.36,1.15,76.9
1,l1_slowest_exh & l1_exh_gap_ge_002,3639,195,5.36,3.36,1.59,76.57
1,l1_class_le_B1 & wind_3_4,4197,220,5.24,3.36,1.56,75.68
1,l1_worst_class & l1_worst_nat,793,104,13.11,3.36,3.9,75.22
1,l1_exh_gap_ge_002 & wave_ge_4,3562,156,4.38,3.36,1.3,74.71
1,l1_class_le_B1 & l1_class_eq_B2,599,52,8.68,3.36,2.58,74.04
1,l1_worst_motor & wave_ge_4,360,20,5.56,3.36,1.65,72.52
1,l1_worst_class & wave_ge_4,263,35,13.31,3.36,3.96,71.83
1,l1_worst_nat & wave_5_6,561,51,9.09,3.36,2.7,71.68
1,l1_worst_nat & wave_ge_4,1198,107,8.93,3.36,2.66,71.37
1,l1_class_le_B1 & wave_5_6,1334,84,6.3,3.36,1.87,70.89
1,l1_class_eq_B2 & wind_3_4,220,20,9.09,3.36,2.7,70.52
