exclude_lane,rule,sample,hits,hit_rate_pct,baseline_hit_rate_pct,lift_vs_baseline,roi_pct
1,l1_worst_st,5163,395,7.65,3.36,2.28,130.89
1,l3_class_eq_B2,916,22,2.4,3.36,0.71,128.99
1,l1_st_gap_ge_005,8572,484,5.65,3.36,1.68,109.66
1,l4_class_eq_B2,1556,33,2.12,3.36,0.63,105.31
1,l1_slowest_exh,3909,256,6.55,3.36,1.95,92.37
1,l1_worst_nat,4708,405,8.6,3.36,2.56,86.65
1,l1_worst_motor,1772,88,4.97,3.36,1.48,79.13
1,wave_5_6,3127,130,4.16,3.36,1.24,78.8
1,wind_ge_4,9360,354,3.78,3.36,1.13,76.67
1,wave_ge_4,6918,266,3.85,3.36,1.14,74.51
1,l1_class_eq_B2,599,52,8.68,3.36,2.58,74.04
1,l1_class_le_B1,11306,633,5.6,3.36,1.67,74.01
1,l4_worst_nat,8357,195,2.33,3.36,0.69,73.46
1,final_day,1418,42,2.96,3.36,0.88,73.37
1,l2_worst_class,2098,65,3.1,3.36,0.92,70.35
1,l1_exh_gap_ge_002,13760,549,3.99,3.36,1.19,69.01
1,l1_course_back,250,17,6.8,3.36,2.02,67.73
1,l3_worst_motor,1795,56,3.12,3.36,0.93,66.67
1,l4_exh_gap_ge_002,18745,627,3.34,3.36,1.0,66.1
1,l4_worst_class,2825,58,2.05,3.36,0.61,66.09
1,l1_worst_class,1108,117,10.56,3.36,3.14,65.63
1,l4_class_le_B1,15201,423,2.78,3.36,0.83,65.59
1,l4_slowest_exh,7642,213,2.79,3.36,0.83,65.01
1,l2_course_front,187,20,10.7,3.36,3.18,64.9
1,l2_st_gap_ge_005,11197,312,2.79,3.36,0.83,63.35
1,wind_3_4,9881,325,3.29,3.36,0.98,61.83
1,l2_worst_st,6442,162,2.51,3.36,0.75,61.39
1,l2_exh_gap_ge_002,17566,529,3.01,3.36,0.9,60.94
1,l2_class_le_B1,14760,432,2.93,3.36,0.87,60.24
1,l3_exh_gap_ge_002,18699,596,3.19,3.36,0.95,59.71
1,l3_class_le_B1,14861,417,2.81,3.36,0.83,59.51
1,l2_slowest_exh,5951,166,2.79,3.36,0.83,58.84
1,l2_worst_motor,1812,56,3.09,3.36,0.92,58.23
1,l3_worst_st,5392,128,2.37,3.36,0.71,55.76
1,l3_course_back,1588,47,2.96,3.36,0.88,55.25
1,l4_worst_motor,1844,52,2.82,3.36,0.84,54.58
1,l3_course_front,516,27,5.23,3.36,1.56,54.35
1,l3_slowest_exh,7205,205,2.85,3.36,0.85,52.8
1,l4_course_back,2262,51,2.25,3.36,0.67,52.41
1,l3_worst_nat,7631,168,2.2,3.36,0.66,51.11
1,l3_st_gap_ge_005,10331,254,2.46,3.36,0.73,50.91
1,l4_st_gap_ge_005,10774,317,2.94,3.36,0.88,49.55
1,l2_worst_nat,7030,162,2.3,3.36,0.69,48.66
1,l3_worst_class,2431,46,1.89,3.36,0.56,48.0
1,l2_class_eq_B2,836,24,2.87,3.36,0.85,46.58
1,l4_course_front,831,28,3.37,3.36,1.0,39.2
1,l4_worst_st,8133,195,2.4,3.36,0.71,37.41
1,l2_course_back,1314,42,3.2,3.36,0.95,34.69
2,l2_worst_st,6442,967,15.01,10.88,1.38,85.33
2,l4_course_front,831,86,10.35,10.88,0.95,84.64
2,l1_worst_motor,1772,198,11.17,10.88,1.03,82.01
2,l3_course_back,1588,114,7.18,10.88,0.66,78.14
2,l2_course_back,1314,116,8.83,10.88,0.81,77.29
2,l2_worst_class,2098,418,19.92,10.88,1.83,77.14
2,l2_worst_nat,7030,1245,17.71,10.88,1.63,75.45
2,final_day,1418,185,13.05,10.88,1.2,75.12
2,l3_class_eq_B2,916,76,8.3,10.88,0.76,75.02
2,l3_worst_class,2431,240,9.87,10.88,0.91,74.89
2,l2_st_gap_ge_005,11197,1373,12.26,10.88,1.13,74.65
2,l1_st_gap_ge_005,8572,799,9.32,10.88,0.86,72.98
2,wave_5_6,3127,332,10.62,10.88,0.98,72.74
2,l1_slowest_exh,3909,405,10.36,10.88,0.95,72.45
2,l3_worst_motor,1795,187,10.42,10.88,0.96,71.51
2,l2_slowest_exh,5951,838,14.08,10.88,1.29,70.7
2,l1_worst_nat,4708,457,9.71,10.88,0.89,69.25
2,l4_worst_motor,1844,209,11.33,10.88,1.04,68.96
2,l3_exh_gap_ge_002,18699,1994,10.66,10.88,0.98,68.58
2,l1_class_le_B1,11306,1039,9.19,10.88,0.84,68.32
2,l1_exh_gap_ge_002,13760,1514,11.0,10.88,1.01,67.92
2,l2_exh_gap_ge_002,17566,2054,11.69,10.88,1.07,67.74
2,l2_class_le_B1,14760,1912,12.95,10.88,1.19,67.6
2,l2_class_eq_B2,836,121,14.47,10.88,1.33,67.35
2,l3_class_le_B1,14861,1355,9.12,10.88,0.84,66.61
2,l3_course_front,516,58,11.24,10.88,1.03,65.98
2,wind_ge_4,9360,1001,10.69,10.88,0.98,65.2
2,wind_3_4,9881,1054,10.67,10.88,0.98,65.08
2,l3_slowest_exh,7205,709,9.84,10.88,0.9,64.91
2,wave_ge_4,6918,703,10.16,10.88,0.93,64.62
2,l2_worst_motor,1812,211,11.64,10.88,1.07,64.44
2,l4_exh_gap_ge_002,18745,1963,10.47,10.88,0.96,64.25
2,l1_class_eq_B2,599,53,8.85,10.88,0.81,63.49
2,l1_worst_st,5163,438,8.48,10.88,0.78,63.26
2,l3_worst_nat,7631,681,8.92,10.88,0.82,62.61
2,l3_st_gap_ge_005,10331,952,9.21,10.88,0.85,61.91
2,l4_slowest_exh,7642,742,9.71,10.88,0.89,60.3
2,l4_worst_nat,8357,633,7.57,10.88,0.7,59.46
2,l3_worst_st,5392,481,8.92,10.88,0.82,58.97
2,l4_class_le_B1,15201,1282,8.43,10.88,0.77,58.28
2,l1_worst_class,1108,108,9.75,10.88,0.9,57.72
2,l4_st_gap_ge_005,10774,1108,10.28,10.88,0.94,56.9
2,l4_worst_st,8133,825,10.14,10.88,0.93,56.39
2,l4_course_back,2262,119,5.26,10.88,0.48,54.44
2,l1_course_back,250,13,5.2,10.88,0.48,52.36
2,l4_worst_class,2825,188,6.65,10.88,0.61,49.64
2,l4_class_eq_B2,1556,65,4.18,10.88,0.38,33.86
2,l2_course_front,187,6,3.21,10.88,0.29,24.51
3,l2_course_front,187,13,6.95,12.91,0.54,138.21
3,l1_course_back,250,20,8.0,12.91,0.62,137.68
3,l2_class_eq_B2,836,69,8.25,12.91,0.64,92.63
3,l3_worst_st,5392,944,17.51,12.91,1.36,91.25
3,l1_worst_class,1108,147,13.27,12.91,1.03,86.13
3,l1_worst_nat,4708,591,12.55,12.91,0.97,83.92
3,l1_slowest_exh,3909,456,11.67,12.91,0.9,83.75
3,l3_class_eq_B2,916,181,19.76,12.91,1.53,83.36
3,l1_class_eq_B2,599,54,9.02,12.91,0.7,82.68
3,l3_slowest_exh,7205,1222,16.96,12.91,1.31,82.18
3,l2_worst_motor,1812,239,13.19,12.91,1.02,80.28
3,l3_worst_motor,1795,251,13.98,12.91,1.08,77.22
3,l1_st_gap_ge_005,8572,954,11.13,12.91,0.86,75.78
3,l2_worst_class,2098,233,11.11,12.91,0.86,75.58
3,l4_class_eq_B2,1556,88,5.66,12.91,0.44,74.52
3,l1_class_le_B1,11306,1258,11.13,12.91,0.86,74.27
3,l4_class_le_B1,15201,1466,9.64,12.91,0.75,73.52
3,l1_exh_gap_ge_002,13760,1728,12.56,12.91,0.97,72.95
3,wind_3_4,9881,1226,12.41,12.91,0.96,72.81
3,l3_st_gap_ge_005,10331,1446,14.0,12.91,1.08,72.64
3,l3_class_le_B1,14861,2298,15.46,12.91,1.2,72.21
3,l4_worst_motor,1844,210,11.39,12.91,0.88,71.14
3,l2_class_le_B1,14760,1604,10.87,12.91,0.84,70.49
3,l3_worst_nat,7631,1539,20.17,12.91,1.56,69.95
3,l2_st_gap_ge_005,11197,1274,11.38,12.91,0.88,69.52
3,l3_exh_gap_ge_002,18699,2603,13.92,12.91,1.08,69.45
3,l2_worst_nat,7030,759,10.8,12.91,0.84,69.34
3,l4_exh_gap_ge_002,18745,2359,12.58,12.91,0.97,68.92
3,l3_worst_class,2431,579,23.82,12.91,1.84,68.38
3,l2_exh_gap_ge_002,17566,2164,12.32,12.91,0.95,67.5
3,l1_worst_st,5163,581,11.25,12.91,0.87,66.4
