combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample,bad_loss_months,worst_month_roi_pct,monthly_detail
1-2,lane1_target_exhibition_st_rank_pair,1-2,1889,611,32.35,188900,252210,63310,133.52,412.78,18.73,83.14,443.89,50.38,13.62,-31.11,probability_plus_price,3,3,0,127.95,2024-10:596r/136.53%/+21770; 2024-11:636r/136.45%/+23180; 2024-12:657r/127.95%/+18360
1-2,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,1889,611,32.35,188900,252210,63310,133.52,412.78,18.73,83.14,443.89,50.38,13.62,-31.11,probability_plus_price,3,3,0,127.95,2024-10:596r/136.53%/+21770; 2024-11:636r/136.45%/+23180; 2024-12:657r/127.95%/+18360
1-2,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1889,611,32.35,188900,252210,63310,133.52,412.78,18.73,83.14,443.89,50.38,13.62,-31.11,probability_plus_price,3,3,0,127.95,2024-10:596r/136.53%/+21770; 2024-11:636r/136.45%/+23180; 2024-12:657r/127.95%/+18360
1-2,lane1_target_start_gap_pair,best-<=0.03,1646,490,29.77,164600,204980,40380,124.53,418.33,18.73,83.14,443.89,41.39,11.04,-25.56,probability_plus_price,3,3,0,120.57,2024-10:528r/120.87%/+11020; 2024-11:552r/132.10%/+17720; 2024-12:566r/120.57%/+11640
1-2,target_lane x lane1_target_start_gap_pair,2 | best-<=0.03,1646,490,29.77,164600,204980,40380,124.53,418.33,18.73,83.14,443.89,41.39,11.04,-25.56,probability_plus_price,3,3,0,120.57,2024-10:528r/120.87%/+11020; 2024-11:552r/132.10%/+17720; 2024-12:566r/120.57%/+11640
1-2,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | <=0.03,1646,490,29.77,164600,204980,40380,124.53,418.33,18.73,83.14,443.89,41.39,11.04,-25.56,probability_plus_price,3,3,0,120.57,2024-10:528r/120.87%/+11020; 2024-11:552r/132.10%/+17720; 2024-12:566r/120.57%/+11640
1-3,lane1_target_exhibition_st_rank_pair,1-2,1147,306,26.68,114700,141410,26710,123.29,462.12,15.82,77.37,489.06,45.92,10.86,-26.94,probability_plus_price,3,3,0,117.72,2024-10:366r/117.90%/+6550; 2024-11:346r/135.98%/+12450; 2024-12:435r/117.72%/+7710
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,1147,306,26.68,114700,141410,26710,123.29,462.12,15.82,77.37,489.06,45.92,10.86,-26.94,probability_plus_price,3,3,0,117.72,2024-10:366r/117.90%/+6550; 2024-11:346r/135.98%/+12450; 2024-12:435r/117.72%/+7710
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1234,326,26.42,123400,150410,27010,121.89,461.38,18.73,83.14,443.89,38.75,7.69,17.49,probability_plus_price,3,3,0,117.58,2024-10:402r/127.84%/+11190; 2024-11:414r/120.46%/+8470; 2024-12:418r/117.58%/+7350
1-2,target_exhibition_st_rank_bucket,2,2890,787,27.23,289000,342320,53320,118.45,434.97,18.73,83.14,443.89,35.31,8.5,-8.92,probability_plus_price,3,3,0,114.05,2024-10:929r/116.60%/+15420; 2024-11:955r/124.89%/+23770; 2024-12:1006r/114.05%/+14130
1-2,target_lane x target_exhibition_st_rank_bucket,2 | 2,2890,787,27.23,289000,342320,53320,118.45,434.97,18.73,83.14,443.89,35.31,8.5,-8.92,probability_plus_price,3,3,0,114.05,2024-10:929r/116.60%/+15420; 2024-11:955r/124.89%/+23770; 2024-12:1006r/114.05%/+14130
