combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample,bad_loss_months,worst_month_roi_pct,monthly_detail
1-2,lane1_target_exhibition_st_rank_pair,1-2,2006,620,30.91,200600,266220,65620,132.71,429.39,19.07,83.03,435.36,49.68,11.84,-5.97,probability_plus_price,3,3,0,127.95,2024-11:636r/136.45%/+23180; 2024-12:657r/127.95%/+18360; 2025-01:713r/133.77%/+24080
1-2,lane1_target_start_gap_pair,best-<=0.03,1729,508,29.38,172900,218550,45650,126.4,430.22,19.07,83.03,435.36,43.37,10.31,-5.14,probability_plus_price,3,3,0,120.57,2024-11:552r/132.10%/+17720; 2024-12:566r/120.57%/+11640; 2025-01:611r/126.66%/+16290
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,315,119,37.78,31500,43670,12170,138.63,366.97,19.07,83.03,435.36,55.6,18.71,-68.39,probability_plus_price,3,3,0,119.42,2024-11:102r/169.12%/+7050; 2024-12:104r/119.42%/+2020; 2025-01:109r/128.44%/+3100
1-3,lane1_target_exhibition_st_rank_pair,1-3,1566,372,23.75,156600,187050,30450,119.44,502.82,15.4,76.1,494.33,43.34,8.35,8.49,probability_plus_price,3,3,0,118.83,2024-11:495r/118.83%/+9320; 2024-12:521r/119.65%/+10240; 2025-01:550r/119.80%/+10890
1-2,lane1_target_start_gap_pair,<=0.03-best,981,269,27.42,98100,119310,21210,121.62,443.53,19.07,83.03,435.36,38.59,8.35,8.17,probability_plus_price,3,3,0,118.01,2024-11:266r/118.01%/+4790; 2024-12:366r/118.66%/+6830; 2025-01:349r/127.48%/+9590
1-3,lane1_target_exhibition_st_rank_pair,1-2,1183,321,27.13,118300,151370,33070,127.95,471.56,15.4,76.1,494.33,51.85,11.73,-22.77,probability_plus_price,3,3,0,117.72,2024-11:346r/135.98%/+12450; 2024-12:435r/117.72%/+7710; 2025-01:402r/132.11%/+12910
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1288,326,25.31,128800,157190,28390,122.04,482.18,19.07,83.03,435.36,39.01,6.24,46.82,probability_plus_price,3,3,0,117.58,2024-11:414r/120.46%/+8470; 2024-12:418r/117.58%/+7350; 2025-01:456r/127.57%/+12570
1-3,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1381,343,24.84,138100,164990,26890,119.47,481.02,15.4,76.1,494.33,43.37,9.44,-13.31,probability_plus_price,3,3,0,112.99,2024-11:390r/132.64%/+12730; 2024-12:509r/112.99%/+6610; 2025-01:482r/115.66%/+7550
1-3,target_class,B2,475,60,12.63,47500,62860,15360,132.34,1047.67,15.4,76.1,494.33,56.24,-2.77,553.34,price_distortion,3,3,0,112.62,2024-11:147r/132.31%/+4750; 2024-12:191r/112.62%/+2410; 2025-01:137r/159.85%/+8200
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,1090,242,22.2,109000,128600,19600,117.98,531.4,15.4,76.1,494.33,41.88,6.8,37.07,probability_plus_price,3,3,0,111.8,2024-11:338r/111.80%/+3990; 2024-12:369r/123.69%/+8740; 2025-01:383r/117.94%/+6870
