race_id,race_date,stadium_code,race_no,exacta_combo_norm,exacta_payout,logic_id,combo,is_hit,return_yen
202505110206,2025-05-11,02,6,3-2,620,L02,1-2,0,0
202505110211,2025-05-11,02,11,1-2,490,L05,1-2,1,490
202505110303,2025-05-11,03,3,6-2,6790,L01,1-2,0,0
202505110306,2025-05-11,03,6,1-6,560,L05,1-2,0,0
202505110307,2025-05-11,03,7,1-4,340,L01,1-2,0,0
202505110712,2025-05-11,07,12,1-4,380,L05,1-2,0,0
202505110908,2025-05-11,09,8,2-3,410,L05,1-2,0,0
202505110912,2025-05-11,09,12,1-2,160,L02,1-2,1,160
202505111309,2025-05-11,13,9,1-3,410,L02,1-2,0,0
202505111802,2025-05-11,18,2,1-4,1270,L03,1-2,0,0
202505112102,2025-05-11,21,2,4-2,2910,L01,1-2,0,0
202505112112,2025-05-11,21,12,1-5,1390,L02,1-2,0,0
202505112301,2025-05-11,23,1,1-3,270,L02,1-2,0,0
202505112303,2025-05-11,23,3,4-5,4770,L02,1-2,0,0
202505112307,2025-05-11,23,7,1-3,620,L02,1-2,0,0
202505112312,2025-05-11,23,12,1-2,370,L02,1-2,1,370
202505112406,2025-05-11,24,6,1-4,850,L05,1-2,0,0
202505120106,2025-05-12,01,6,4-1,3290,L03,1-2,0,0
202505120207,2025-05-12,02,7,2-6,7290,L01,1-2,0,0
202505120210,2025-05-12,02,10,3-2,1520,L03,1-2,0,0
202505120402,2025-05-12,04,2,1-2,260,L02,1-2,1,260
202505120412,2025-05-12,04,12,3-1,1520,L01,1-2,0,0
202505120901,2025-05-12,09,1,1-4,220,L02,1-2,0,0
202505120907,2025-05-12,09,7,2-1,390,L01,1-2,0,0
202505121104,2025-05-12,11,4,3-6,6610,L01,1-2,0,0
202505121105,2025-05-12,11,5,1-3,810,L02,1-2,0,0
202505121108,2025-05-12,11,8,1-6,5420,L05,1-2,0,0
202505121307,2025-05-12,13,7,3-5,4020,L05,1-2,0,0
202505121311,2025-05-12,13,11,5-6,11270,L02,1-2,0,0
202505121602,2025-05-12,16,2,5-4,4040,L01,1-2,0,0
202505121804,2025-05-12,18,4,1-4,1520,L01,1-2,0,0
202505121812,2025-05-12,18,12,4-1,1530,L02,1-2,0,0
202505122003,2025-05-12,20,3,1-5,1100,L01,1-2,0,0
202505122010,2025-05-12,20,10,1-3,430,L02,1-2,0,0
