race_id,race_date,stadium_code,race_no,exacta_combo_norm,exacta_payout,logic_id,combo,is_hit,return_yen
202509110110,2025-09-11,01,10,2-1,1080,L01,1-3,0,0
202509110207,2025-09-11,02,7,3-2,4130,L01,1-3,0,0
202509110510,2025-09-11,05,10,1-2,500,L01,1-3,0,0
202509110608,2025-09-11,06,8,1-4,410,L01,1-3,0,0
202509110901,2025-09-11,09,1,1-4,570,L01,1-3,0,0
202509110905,2025-09-11,09,5,1-2,250,L01,1-3,0,0
202509110910,2025-09-11,09,10,1-2,170,L01,1-3,0,0
202509111112,2025-09-11,11,12,1-2,180,L01,1-3,0,0
202509111606,2025-09-11,16,6,1-4,280,L01,1-3,0,0
202509111804,2025-09-11,18,4,1-3,470,L01,1-3,1,470
202509111901,2025-09-11,19,1,1-2,630,L01,1-3,0,0
202509111902,2025-09-11,19,2,2-1,2270,L01,1-3,0,0
202509112205,2025-09-11,22,5,1-2,520,L01,1-3,0,0
202509112206,2025-09-11,22,6,1-2,510,L01,1-3,0,0
202509120510,2025-09-12,05,10,1-5,1580,L01,1-3,0,0
202509120611,2025-09-12,06,11,1-5,490,L01,1-3,0,0
202509120612,2025-09-12,06,12,1-3,320,L01,1-3,1,320
202509121111,2025-09-12,11,11,2-1,720,L01,1-3,0,0
202509121203,2025-09-12,12,3,1-4,380,L01,1-3,0,0
202509121508,2025-09-12,15,8,1-2,210,L01,1-3,0,0
202509121512,2025-09-12,15,12,1-3,430,L01,1-3,1,430
202509121801,2025-09-12,18,1,1-3,250,L01,1-3,1,250
202509121807,2025-09-12,18,7,1-3,420,L01,1-3,1,420
202509121808,2025-09-12,18,8,2-1,1260,L01,1-3,0,0
202509121810,2025-09-12,18,10,1-2,180,L01,1-3,0,0
202509122208,2025-09-12,22,8,1-3,430,L01,1-3,1,430
202509122210,2025-09-12,22,10,3-1,3070,L01,1-3,0,0
202509122212,2025-09-12,22,12,3-5,5880,L01,1-3,0,0
202509130202,2025-09-13,02,2,2-3,1740,L01,1-3,0,0
202509130212,2025-09-13,02,12,1-2,290,L01,1-3,0,0
202509130407,2025-09-13,04,7,3-1,400,L01,1-3,0,0
202509130410,2025-09-13,04,10,1-3,470,L01,1-3,1,470
202509130508,2025-09-13,05,8,1-2,510,L01,1-3,0,0
202509130606,2025-09-13,06,6,1-4,2970,L01,1-3,0,0
202509131105,2025-09-13,11,5,1-2,270,L01,1-3,0,0
202509131111,2025-09-13,11,11,1-4,490,L01,1-3,0,0
202509131406,2025-09-13,14,6,1-3,630,L01,1-3,1,630
202509131505,2025-09-13,15,5,5-3,23070,L01,1-3,0,0
202509131507,2025-09-13,15,7,1-6,1380,L01,1-3,0,0
202509131511,2025-09-13,15,11,4-1,4120,L01,1-3,0,0
202509131603,2025-09-13,16,3,1-3,300,L01,1-3,1,300
202509131606,2025-09-13,16,6,1-4,240,L01,1-3,0,0
202509131811,2025-09-13,18,11,1-5,990,L01,1-3,0,0
202509131909,2025-09-13,19,9,5-1,920,L01,1-3,0,0
202509132106,2025-09-13,21,6,5-2,490,L01,1-3,0,0
202509132111,2025-09-13,21,11,2-4,2710,L01,1-3,0,0
202509132206,2025-09-13,22,6,1-2,350,L01,1-3,0,0
202509132212,2025-09-13,22,12,2-1,1740,L01,1-3,0,0
202509140310,2025-09-14,03,10,1-3,350,L01,1-3,1,350
202509140407,2025-09-14,04,7,1-3,430,L01,1-3,1,430
202509140409,2025-09-14,04,9,2-1,630,L01,1-3,0,0
202509140602,2025-09-14,06,2,1-6,440,L01,1-3,0,0
202509140605,2025-09-14,06,5,1-5,350,L01,1-3,0,0
202509140606,2025-09-14,06,6,1-3,1270,L01,1-3,1,1270
202509141405,2025-09-14,14,5,1-3,500,L01,1-3,1,500
202509141408,2025-09-14,14,8,3-1,800,L01,1-3,0,0
202509141410,2025-09-14,14,10,1-2,390,L01,1-3,0,0
202509141509,2025-09-14,15,9,1-3,510,L01,1-3,1,510
202509141701,2025-09-14,17,1,1-2,240,L01,1-3,0,0
202509141703,2025-09-14,17,3,1-3,410,L01,1-3,1,410
