combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type
1-6,target_exhibition_rank_bucket x other_exhibition_faster_than_target_count_bucket,4+ | 0,54,3,5.56,5400,13400,8000,248.15,4466.67,3.94,69.07,1754.72,179.08,1.62,2711.95,price_distortion
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.05_0.10 | lane1_faster_0.03_0.06,209,17,8.13,20900,50020,29120,239.33,2942.35,3.94,69.07,1754.72,170.26,4.19,1187.63,price_distortion
1-6,lane1_target_exhibition_st_rank_pair,3-1,262,29,11.07,26200,62080,35880,236.95,2140.69,3.94,69.07,1754.72,167.88,7.13,385.97,price_distortion
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,3 | 1,262,29,11.07,26200,62080,35880,236.95,2140.69,3.94,69.07,1754.72,167.88,7.13,385.97,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-0.04-0.06 | some_other_pressure,51,8,15.69,5100,11710,6610,229.61,1463.75,3.94,69.07,1754.72,160.54,11.75,-290.97,probability_plus_price
1-6,lane1_target_class_pair,B2-A2,58,2,3.45,5800,13240,7440,228.28,6620.0,3.94,69.07,1754.72,159.21,-0.49,4865.28,price_distortion
1-5,lane1_target_class_pair,B2-B1,162,9,5.56,16200,33300,17100,205.56,3700.0,6.4,77.77,1215.84,127.79,-0.84,2484.16,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,91,10,10.99,9100,16370,7270,179.89,1637.0,3.94,69.07,1754.72,110.82,7.05,-117.72,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | some_other_pressure,67,8,11.94,6700,11750,5050,175.37,1468.75,3.94,69.07,1754.72,106.3,8.0,-285.97,probability_plus_price
1-6,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,3 | 0,219,12,5.48,21900,37790,15890,172.56,3149.17,3.94,69.07,1754.72,103.49,1.54,1394.45,price_distortion
1-5,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | target_faster_0.03_0.06,73,9,12.33,7300,12510,5210,171.37,1390.0,6.4,77.77,1215.84,93.6,5.93,174.16,price_distortion
1-4,lane1_target_group_pair x other_a_count_bucket,B-B | 4,83,5,6.02,8300,14100,5800,169.88,2820.0,10.2,75.25,737.84,94.63,-4.18,2082.16,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | low_other_pressure,55,13,23.64,5500,9200,3700,167.27,707.69,3.94,69.07,1754.72,98.2,19.7,-1047.03,probability_plus_price
1-6,lane1_target_group_pair x target_outer_pressure_bucket,A-B | low_other_pressure,32,6,18.75,3200,5350,2150,167.19,891.67,3.94,69.07,1754.72,98.12,14.81,-863.05,probability_plus_price
1-5,lane1_target_exhibition_st_rank_pair,2-1,318,42,13.21,31800,52780,20980,165.97,1256.67,6.4,77.77,1215.84,88.2,6.81,40.83,probability_plus_price
1-5,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 1,318,42,13.21,31800,52780,20980,165.97,1256.67,6.4,77.77,1215.84,88.2,6.81,40.83,probability_plus_price
1-6,lane1_target_start_gap_pair,<=0.03-best,486,43,8.85,48600,79640,31040,163.87,1852.09,3.94,69.07,1754.72,94.8,4.91,97.37,price_distortion
1-6,target_lane x lane1_target_start_gap_pair,6 | <=0.03-best,486,43,8.85,48600,79640,31040,163.87,1852.09,3.94,69.07,1754.72,94.8,4.91,97.37,price_distortion
1-6,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,<=0.03 | best,486,43,8.85,48600,79640,31040,163.87,1852.09,3.94,69.07,1754.72,94.8,4.91,97.37,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | high_other_pressure,382,28,7.33,38200,61910,23710,162.07,2211.07,3.94,69.07,1754.72,93.0,3.39,456.35,price_distortion
1-6,lane1_target_exhibition_st_rank_pair,1-2,321,37,11.53,32100,52020,19920,162.06,1405.95,3.94,69.07,1754.72,92.99,7.59,-348.77,probability_plus_price
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,321,37,11.53,32100,52020,19920,162.06,1405.95,3.94,69.07,1754.72,92.99,7.59,-348.77,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | low_other_pressure,37,7,18.92,3700,5980,2280,161.62,854.29,3.94,69.07,1754.72,92.55,14.98,-900.43,probability_plus_price
1-6,lane1_target_start_gap_pair,best-best,124,14,11.29,12400,19760,7360,159.35,1411.43,3.94,69.07,1754.72,90.28,7.35,-343.29,probability_plus_price
1-6,target_lane x lane1_target_start_gap_pair,6 | best-best,124,14,11.29,12400,19760,7360,159.35,1411.43,3.94,69.07,1754.72,90.28,7.35,-343.29,probability_plus_price
1-6,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | best,124,14,11.29,12400,19760,7360,159.35,1411.43,3.94,69.07,1754.72,90.28,7.35,-343.29,probability_plus_price
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | high_other_pressure,152,32,21.05,15200,23640,8440,155.53,738.75,10.2,75.25,737.84,80.28,10.85,0.91,probability_plus_price
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | low_other_pressure,63,21,33.33,6300,9680,3380,153.65,460.95,10.2,75.25,737.84,78.4,23.13,-276.89,probability_plus_price
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | some_other_pressure,61,22,36.07,6100,9360,3260,153.44,425.45,17.68,78.75,445.55,74.69,18.39,-20.1,probability_plus_price
1-6,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,4+ | 0,70,5,7.14,7000,10520,3520,150.29,2104.0,3.94,69.07,1754.72,81.22,3.2,349.28,price_distortion
1-6,lane1_target_exhibition_st_rank_pair,2-1,322,31,9.63,32200,47900,15700,148.76,1545.16,3.94,69.07,1754.72,79.69,5.69,-209.56,probability_plus_price
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 1,322,31,9.63,32200,47900,15700,148.76,1545.16,3.94,69.07,1754.72,79.69,5.69,-209.56,probability_plus_price
1-5,lane1_class,B2,315,15,4.76,31500,46430,14930,147.4,3095.33,6.4,77.77,1215.84,69.63,-1.64,1879.49,price_distortion
1-5,lane1_target_group_pair x other_a_count_bucket,B-A | 3,270,18,6.67,27000,39360,12360,145.78,2186.67,6.4,77.77,1215.84,68.01,0.27,970.83,price_distortion
1-6,lane1_target_national_rank_pair x target_outer_pressure_bucket,1-2 | some_other_pressure,103,17,16.5,10300,14940,4640,145.05,878.82,3.94,69.07,1754.72,75.98,12.56,-875.9,probability_plus_price
1-2,grade_group,SG,72,22,30.56,7200,10380,3180,144.17,471.82,17.68,78.75,445.55,65.42,12.88,26.27,probability_plus_price
