combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample,bad_loss_months,worst_month_roi_pct,monthly_detail
1-2,lane1_target_exhibition_st_rank_pair,1-2,1764,532,30.16,176400,227110,50710,128.75,426.9,18.16,79.77,439.16,48.98,12.0,-12.26,probability_plus_price,3,3,0,120.0,2025-09:594r/120.00%/+11880; 2025-10:587r/133.88%/+19890; 2025-11:583r/132.49%/+18940
1-2,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,1764,532,30.16,176400,227110,50710,128.75,426.9,18.16,79.77,439.16,48.98,12.0,-12.26,probability_plus_price,3,3,0,120.0,2025-09:594r/120.00%/+11880; 2025-10:587r/133.88%/+19890; 2025-11:583r/132.49%/+18940
1-2,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1764,532,30.16,176400,227110,50710,128.75,426.9,18.16,79.77,439.16,48.98,12.0,-12.26,probability_plus_price,3,3,0,120.0,2025-09:594r/120.00%/+11880; 2025-10:587r/133.88%/+19890; 2025-11:583r/132.49%/+18940
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,925,204,22.05,92500,116070,23570,125.48,568.97,15.57,77.83,499.83,47.65,6.48,69.14,probability_plus_price,3,3,0,119.27,2025-09:291r/132.68%/+9510; 2025-10:314r/119.27%/+6050; 2025-11:320r/125.03%/+8010
1-3,lane1_target_exhibition_st_rank_pair,1-3,1396,343,24.57,139600,175850,36250,125.97,512.68,15.57,77.83,499.83,48.14,9.0,12.85,probability_plus_price,3,3,0,118.06,2025-09:448r/123.82%/+10670; 2025-10:474r/118.06%/+8560; 2025-11:474r/135.91%/+17020
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 3,1396,343,24.57,139600,175850,36250,125.97,512.68,15.57,77.83,499.83,48.14,9.0,12.85,probability_plus_price,3,3,0,118.06,2025-09:448r/123.82%/+10670; 2025-10:474r/118.06%/+8560; 2025-11:474r/135.91%/+17020
1-3,lane1_target_start_gap_pair,best-0.04-0.06,1180,279,23.64,118000,145140,27140,123.0,520.22,15.57,77.83,499.83,45.17,8.07,20.39,probability_plus_price,3,3,0,116.21,2025-09:373r/126.06%/+9720; 2025-10:401r/116.21%/+6500; 2025-11:406r/126.90%/+10920
1-3,target_lane x lane1_target_start_gap_pair,3 | best-0.04-0.06,1180,279,23.64,118000,145140,27140,123.0,520.22,15.57,77.83,499.83,45.17,8.07,20.39,probability_plus_price,3,3,0,116.21,2025-09:373r/126.06%/+9720; 2025-10:401r/116.21%/+6500; 2025-11:406r/126.90%/+10920
1-3,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | 0.04-0.06,1180,279,23.64,118000,145140,27140,123.0,520.22,15.57,77.83,499.83,45.17,8.07,20.39,probability_plus_price,3,3,0,116.21,2025-09:373r/126.06%/+9720; 2025-10:401r/116.21%/+6500; 2025-11:406r/126.90%/+10920
1-3,lane1_target_exhibition_st_rank_pair,3-1,386,86,22.28,38600,50260,11660,130.21,584.42,15.57,77.83,499.83,52.38,6.71,84.59,price_distortion,3,3,0,115.38,2025-09:117r/115.38%/+1800; 2025-10:135r/135.19%/+4750; 2025-11:134r/138.13%/+5110
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,3 | 1,386,86,22.28,38600,50260,11660,130.21,584.42,15.57,77.83,499.83,52.38,6.71,84.59,price_distortion,3,3,0,115.38,2025-09:117r/115.38%/+1800; 2025-10:135r/135.19%/+4750; 2025-11:134r/138.13%/+5110
1-2,lane1_target_exhibition_st_rank_pair,1-3,909,215,23.65,90900,107530,16630,118.29,500.14,18.16,79.77,439.16,38.52,5.49,60.98,probability_plus_price,3,3,0,115.05,2025-09:299r/115.05%/+4500; 2025-10:310r/116.39%/+5080; 2025-11:300r/123.50%/+7050
1-2,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 3,909,215,23.65,90900,107530,16630,118.29,500.14,18.16,79.77,439.16,38.52,5.49,60.98,probability_plus_price,3,3,0,115.05,2025-09:299r/115.05%/+4500; 2025-10:310r/116.39%/+5080; 2025-11:300r/123.50%/+7050
1-3,other_group_pattern,B-A-A-A,310,48,15.48,31000,36940,5940,119.16,769.58,15.57,77.83,499.83,41.33,-0.09,269.75,price_distortion,3,3,0,114.48,2025-09:96r/114.48%/+1390; 2025-10:100r/120.90%/+2090; 2025-11:114r/121.58%/+2460
1-2,lane1_target_start_gap_pair,best-best,321,98,30.53,32100,40810,8710,127.13,416.43,18.16,79.77,439.16,47.36,12.37,-22.73,probability_plus_price,3,3,0,113.33,2025-09:123r/136.91%/+4540; 2025-10:90r/130.33%/+2730; 2025-11:108r/113.33%/+1440
1-2,target_lane x lane1_target_start_gap_pair,2 | best-best,321,98,30.53,32100,40810,8710,127.13,416.43,18.16,79.77,439.16,47.36,12.37,-22.73,probability_plus_price,3,3,0,113.33,2025-09:123r/136.91%/+4540; 2025-10:90r/130.33%/+2730; 2025-11:108r/113.33%/+1440
1-2,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | best,321,98,30.53,32100,40810,8710,127.13,416.43,18.16,79.77,439.16,47.36,12.37,-22.73,probability_plus_price,3,3,0,113.33,2025-09:123r/136.91%/+4540; 2025-10:90r/130.33%/+2730; 2025-11:108r/113.33%/+1440
1-2,lane1_exhibition_st_rank_bucket,1,3987,994,24.93,398700,442950,44250,111.1,445.62,18.16,79.77,439.16,31.33,6.77,6.46,probability_plus_price,3,3,0,109.89,2025-09:1328r/109.89%/+13140; 2025-10:1345r/111.21%/+15080; 2025-11:1314r/112.20%/+16030
1-2,lane1_start_exhibition_gap_bucket,best,3987,994,24.93,398700,442950,44250,111.1,445.62,18.16,79.77,439.16,31.33,6.77,6.46,probability_plus_price,3,3,0,109.89,2025-09:1328r/109.89%/+13140; 2025-10:1345r/111.21%/+15080; 2025-11:1314r/112.20%/+16030
