cycle_month,target_month,train_start,train_end,target_start,target_end,train_races,target_races,train_slice_rows,focus_slice_rows,quality_candidate_count,selected_logic_count,dedup_bets,dedup_unique_races,dedup_hits,dedup_hit_rate_pct,dedup_profit_yen,dedup_roi_pct,month_dir
2025-01,2025-01-11_to_2025-02-10,2024-10-01,2024-12-31,2025-01-11,2025-02-10,13433,4725,2830,1125,43,10,2534,2088,587,23.16,26130,110.31,C:\boat\reports\strategies\rolling_10day_forward_2025_train3m_no_grace_12_13_tol98_max10_20260504\2025-01-11_to_2025-02-10
2025-02,2025-02-11_to_2025-03-10,2024-11-01,2025-01-31,2025-02-11,2025-03-10,14069,4316,2836,1124,41,10,2294,1659,570,24.85,35860,115.63,C:\boat\reports\strategies\rolling_10day_forward_2025_train3m_no_grace_12_13_tol98_max10_20260504\2025-02-11_to_2025-03-10
2025-03,2025-03-11_to_2025-04-10,2024-12-01,2025-02-28,2025-03-11,2025-04-10,14280,4407,2842,1125,30,10,3081,1993,748,24.28,8880,102.88,C:\boat\reports\strategies\rolling_10day_forward_2025_train3m_no_grace_12_13_tol98_max10_20260504\2025-03-11_to_2025-04-10
2025-04,2025-04-11_to_2025-05-10,2025-01-01,2025-03-31,2025-04-11,2025-05-10,13852,4612,2815,1117,32,8,1738,1374,359,20.66,-25460,85.35,C:\boat\reports\strategies\rolling_10day_forward_2025_train3m_no_grace_12_13_tol98_max10_20260504\2025-04-11_to_2025-05-10
2025-05,2025-05-11_to_2025-06-10,2025-02-01,2025-04-30,2025-05-11,2025-06-10,13073,4850,2756,1094,21,5,656,656,131,19.97,-12680,80.67,C:\boat\reports\strategies\rolling_10day_forward_2025_train3m_no_grace_12_13_tol98_max10_20260504\2025-05-11_to_2025-06-10
2025-06,2025-06-11_to_2025-07-10,2025-03-01,2025-05-31,2025-06-11,2025-07-10,13759,4843,2714,1082,1,1,212,212,60,28.3,6500,130.66,C:\boat\reports\strategies\rolling_10day_forward_2025_train3m_no_grace_12_13_tol98_max10_20260504\2025-06-11_to_2025-07-10
2025-07,2025-07-11_to_2025-08-10,2025-04-01,2025-06-30,2025-07-11,2025-08-10,14003,5106,2666,1060,1,1,239,239,61,25.52,8970,137.53,C:\boat\reports\strategies\rolling_10day_forward_2025_train3m_no_grace_12_13_tol98_max10_20260504\2025-07-11_to_2025-08-10
2025-08,2025-08-11_to_2025-09-10,2025-05-01,2025-07-31,2025-08-11,2025-09-10,14923,4739,2717,1081,3,3,656,647,88,13.41,-6850,89.56,C:\boat\reports\strategies\rolling_10day_forward_2025_train3m_no_grace_12_13_tol98_max10_20260504\2025-08-11_to_2025-09-10
2025-09,2025-09-11_to_2025-10-10,2025-06-01,2025-08-31,2025-09-11,2025-10-10,14940,4193,2768,1100,38,10,2171,1589,552,25.43,41810,119.26,C:\boat\reports\strategies\rolling_10day_forward_2025_train3m_no_grace_12_13_tol98_max10_20260504\2025-09-11_to_2025-10-10
2025-10,2025-10-11_to_2025-11-10,2025-07-01,2025-09-30,2025-10-11,2025-11-10,14426,4175,2785,1111,27,10,2654,1870,573,21.59,-18400,93.07,C:\boat\reports\strategies\rolling_10day_forward_2025_train3m_no_grace_12_13_tol98_max10_20260504\2025-10-11_to_2025-11-10
2025-11,2025-11-11_to_2025-12-10,2025-08-01,2025-10-31,2025-11-11,2025-12-10,13414,3979,2786,1113,21,10,1978,1378,536,27.1,60540,130.61,C:\boat\reports\strategies\rolling_10day_forward_2025_train3m_no_grace_12_13_tol98_max10_20260504\2025-11-11_to_2025-12-10
2025-12,2025-12-11_to_2026-01-10,2025-09-01,2025-11-30,2025-12-11,2026-01-10,12304,5183,2757,1104,30,10,2943,1996,684,23.24,16260,105.52,C:\boat\reports\strategies\rolling_10day_forward_2025_train3m_no_grace_12_13_tol98_max10_20260504\2025-12-11_to_2026-01-10
