combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample,bad_loss_months,worst_month_roi_pct,monthly_detail
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,1026,222,21.64,102600,125770,23170,122.58,566.53,15.76,78.52,498.07,44.06,5.88,68.46,probability_plus_price,3,3,0,119.27,2025-10:314r/119.27%/+6050; 2025-11:320r/125.03%/+8010; 2025-12:392r/123.24%/+9110
1-2,lane1_target_exhibition_st_rank_pair,1-2,1871,558,29.82,187100,238620,51520,127.54,427.63,18.8,81.32,432.61,46.22,11.02,-4.98,probability_plus_price,3,3,0,118.1,2025-10:587r/133.88%/+19890; 2025-11:583r/132.49%/+18940; 2025-12:701r/118.10%/+12690
1-2,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,1871,558,29.82,187100,238620,51520,127.54,427.63,18.8,81.32,432.61,46.22,11.02,-4.98,probability_plus_price,3,3,0,118.1,2025-10:587r/133.88%/+19890; 2025-11:583r/132.49%/+18940; 2025-12:701r/118.10%/+12690
1-2,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1871,558,29.82,187100,238620,51520,127.54,427.63,18.8,81.32,432.61,46.22,11.02,-4.98,probability_plus_price,3,3,0,118.1,2025-10:587r/133.88%/+19890; 2025-11:583r/132.49%/+18940; 2025-12:701r/118.10%/+12690
1-3,lane1_target_exhibition_st_rank_pair,1-3,1531,374,24.43,153100,198550,45450,129.69,530.88,15.76,78.52,498.07,51.17,8.67,32.81,probability_plus_price,3,3,0,118.06,2025-10:474r/118.06%/+8560; 2025-11:474r/135.91%/+17020; 2025-12:583r/134.08%/+19870
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 3,1531,374,24.43,153100,198550,45450,129.69,530.88,15.76,78.52,498.07,51.17,8.67,32.81,probability_plus_price,3,3,0,118.06,2025-10:474r/118.06%/+8560; 2025-11:474r/135.91%/+17020; 2025-12:583r/134.08%/+19870
1-3,lane1_target_exhibition_st_rank_pair,1-2,1050,282,26.86,105000,131650,26650,125.38,466.84,15.76,78.52,498.07,46.86,11.1,-31.23,probability_plus_price,3,3,0,117.32,2025-10:351r/117.32%/+6080; 2025-11:323r/127.21%/+8790; 2025-12:376r/131.33%/+11780
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,1050,282,26.86,105000,131650,26650,125.38,466.84,15.76,78.52,498.07,46.86,11.1,-31.23,probability_plus_price,3,3,0,117.32,2025-10:351r/117.32%/+6080; 2025-11:323r/127.21%/+8790; 2025-12:376r/131.33%/+11780
1-3,lane1_target_start_gap_pair,best-0.04-0.06,1296,311,24.0,129600,158290,28690,122.14,508.97,15.76,78.52,498.07,43.62,8.24,10.9,probability_plus_price,3,3,0,116.21,2025-10:401r/116.21%/+6500; 2025-11:406r/126.90%/+10920; 2025-12:489r/123.05%/+11270
1-3,target_lane x lane1_target_start_gap_pair,3 | best-0.04-0.06,1296,311,24.0,129600,158290,28690,122.14,508.97,15.76,78.52,498.07,43.62,8.24,10.9,probability_plus_price,3,3,0,116.21,2025-10:401r/116.21%/+6500; 2025-11:406r/126.90%/+10920; 2025-12:489r/123.05%/+11270
1-3,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | 0.04-0.06,1296,311,24.0,129600,158290,28690,122.14,508.97,15.76,78.52,498.07,43.62,8.24,10.9,probability_plus_price,3,3,0,116.21,2025-10:401r/116.21%/+6500; 2025-11:406r/126.90%/+10920; 2025-12:489r/123.05%/+11270
