logic_id,combo,slice_family,slice_value,train_sample_races,train_hits,train_hit_rate_pct,train_roi_pct,train_roi_lift_pct,train_positive_months,target_bets,target_hits,target_hit_rate_pct,target_return_yen,target_profit_yen,target_roi_pct,target_avg_hit_payout_yen
L01,1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,1026,222,21.64,122.58,44.06,3,378,73,19.31,41240,3440,109.1,564.93
L02,1-2,lane1_target_exhibition_st_rank_pair,1-2,1871,558,29.82,127.54,46.22,3,689,214,31.06,86910,18010,126.14,406.12
L03,1-3,lane1_target_exhibition_st_rank_pair,1-3,1531,374,24.43,129.69,51.17,3,537,137,25.51,69350,15650,129.14,506.2
L04,1-3,lane1_target_exhibition_st_rank_pair,1-2,1050,282,26.86,125.38,46.86,3,407,114,28.01,55690,14990,136.83,488.51
L05,1-3,lane1_target_start_gap_pair,best-0.04-0.06,1296,311,24.0,122.14,43.62,3,469,100,21.32,50490,3590,107.65,504.9
L06,1-2,lane1_target_exhibition_st_rank_pair,1-3,975,241,24.72,118.15,36.83,3,353,110,31.16,43500,8200,123.23,395.45
L07,1-2,target_exhibition_st_rank_bucket,2,2840,734,25.85,111.5,30.18,3,1082,293,27.08,122980,14780,113.66,419.73
L08,1-2,lane1_target_exhibition_st_rank_pair,2-1,595,179,30.08,119.87,38.55,3,233,59,25.32,25560,2260,109.7,433.22
L09,1-2,lane1_target_start_gap_pair,best-best,325,90,27.69,116.58,35.26,3,123,37,30.08,16320,4020,132.68,441.08
L10,1-3,lane1_target_start_gap_pair,<=0.03-best,875,201,22.97,118.35,39.83,3,316,74,23.42,33870,2270,107.18,457.7
