race_id,race_date,stadium_code,race_no,exacta_combo_norm,exacta_payout,logic_id,combo,is_hit,return_yen
202602110206,2026-02-11,02,6,2-1,820,L06,1-2,0,0
202602110208,2026-02-11,02,8,3-1,2360,L08,1-2,0,0
202602110208,2026-02-11,02,8,3-1,2360,L02,1-3,0,0
202602110210,2026-02-11,02,10,1-2,370,L03,1-2,1,370
202602110210,2026-02-11,02,10,1-2,370,L01,1-3,0,0
202602110301,2026-02-11,03,1,3-2,1630,L05,1-3,0,0
202602110302,2026-02-11,03,2,1-3,2560,L01,1-3,1,2560
202602110303,2026-02-11,03,3,4-3,3420,L08,1-2,0,0
202602110303,2026-02-11,03,3,4-3,3420,L01,1-3,0,0
202602110304,2026-02-11,03,4,3-4,3350,L09,1-2,0,0
202602110304,2026-02-11,03,4,3-4,3350,L04,1-3,0,0
202602110306,2026-02-11,03,6,1-2,550,L02,1-3,0,0
202602110308,2026-02-11,03,8,1-3,270,L01,1-3,1,270
202602110309,2026-02-11,03,9,1-5,940,L06,1-2,0,0
202602110309,2026-02-11,03,9,1-5,940,L01,1-3,0,0
202602110312,2026-02-11,03,12,1-3,290,L08,1-2,0,0
202602110501,2026-02-11,05,1,3-1,560,L08,1-2,0,0
202602110501,2026-02-11,05,1,3-1,560,L01,1-3,0,0
202602110508,2026-02-11,05,8,1-3,420,L07,1-3,1,420
202602110511,2026-02-11,05,11,1-2,330,L07,1-3,0,0
202602110602,2026-02-11,06,2,4-1,980,L07,1-3,0,0
202602110609,2026-02-11,06,9,4-1,810,L08,1-2,0,0
202602110610,2026-02-11,06,10,2-1,460,L02,1-3,0,0
202602110612,2026-02-11,06,12,1-2,260,L07,1-3,0,0
202602110701,2026-02-11,07,1,1-3,390,L08,1-2,0,0
202602110701,2026-02-11,07,1,1-3,390,L02,1-3,1,390
202602110702,2026-02-11,07,2,1-2,370,L06,1-2,1,370
202602110705,2026-02-11,07,5,2-1,1050,L03,1-2,0,0
202602110707,2026-02-11,07,7,1-4,200,L06,1-2,0,0
