combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample,bad_loss_months,worst_month_roi_pct,monthly_detail
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1102,257,23.32,110200,151480,41280,137.46,589.42,15.86,79.43,500.87,58.03,7.46,88.55,price_distortion,3,3,0,129.1,2025-12:364r/139.07%/+14220; 2026-01:431r/129.10%/+12540; 2026-02:307r/147.30%/+14520
1-3,lane1_target_start_gap_pair,best-<=0.03,1405,352,25.05,140500,183140,42640,130.35,520.28,15.86,79.43,500.87,50.92,9.19,19.41,probability_plus_price,3,3,0,125.63,2025-12:462r/125.63%/+11840; 2026-01:541r/126.27%/+14210; 2026-02:402r/141.27%/+16590
1-3,target_lane x lane1_target_start_gap_pair,3 | best-<=0.03,1405,352,25.05,140500,183140,42640,130.35,520.28,15.86,79.43,500.87,50.92,9.19,19.41,probability_plus_price,3,3,0,125.63,2025-12:462r/125.63%/+11840; 2026-01:541r/126.27%/+14210; 2026-02:402r/141.27%/+16590
1-3,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,best | <=0.03,1405,352,25.05,140500,183140,42640,130.35,520.28,15.86,79.43,500.87,50.92,9.19,19.41,probability_plus_price,3,3,0,125.63,2025-12:462r/125.63%/+11840; 2026-01:541r/126.27%/+14210; 2026-02:402r/141.27%/+16590
1-3,lane1_target_exhibition_st_rank_pair,1-2,1139,307,26.95,113900,156630,42730,137.52,510.2,15.86,79.43,500.87,58.09,11.09,9.33,probability_plus_price,3,3,0,123.28,2025-12:376r/131.33%/+11780; 2026-01:433r/123.28%/+10080; 2026-02:330r/163.24%/+20870
1-3,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,1139,307,26.95,113900,156630,42730,137.52,510.2,15.86,79.43,500.87,58.09,11.09,9.33,probability_plus_price,3,3,0,123.28,2025-12:376r/131.33%/+11780; 2026-01:433r/123.28%/+10080; 2026-02:330r/163.24%/+20870
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,317,125,39.43,31700,41330,9630,130.38,330.64,18.58,79.41,427.47,50.97,20.85,-96.83,probability_plus_price,3,3,0,120.24,2025-12:120r/127.33%/+3280; 2026-01:115r/140.78%/+4690; 2026-02:82r/120.24%/+1660
1-2,lane1_target_exhibition_st_rank_pair,1-2,2018,599,29.68,201800,246170,44370,121.99,410.97,18.58,79.41,427.47,42.58,11.1,-16.5,probability_plus_price,3,3,0,118.1,2025-12:701r/118.10%/+12690; 2026-01:748r/122.25%/+16640; 2026-02:569r/126.43%/+15040
1-2,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,1 | 2,2018,599,29.68,201800,246170,44370,121.99,410.97,18.58,79.41,427.47,42.58,11.1,-16.5,probability_plus_price,3,3,0,118.1,2025-12:701r/118.10%/+12690; 2026-01:748r/122.25%/+16640; 2026-02:569r/126.43%/+15040
1-2,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,2018,599,29.68,201800,246170,44370,121.99,410.97,18.58,79.41,427.47,42.58,11.1,-16.5,probability_plus_price,3,3,0,118.1,2025-12:701r/118.10%/+12690; 2026-01:748r/122.25%/+16640; 2026-02:569r/126.43%/+15040
1-3,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,2 | 0,1352,346,25.59,135200,174170,38970,128.82,503.38,15.86,79.43,500.87,49.39,9.73,2.51,probability_plus_price,3,3,0,115.96,2025-12:449r/123.03%/+10340; 2026-01:503r/115.96%/+8030; 2026-02:400r/151.50%/+20600
1-2,lane1_target_start_gap_pair,best-<=0.03,1653,479,28.98,165300,196160,30860,118.67,409.52,18.58,79.41,427.47,39.26,10.4,-17.95,probability_plus_price,3,3,0,112.25,2025-12:584r/120.00%/+11680; 2026-01:612r/112.25%/+7500; 2026-02:457r/125.56%/+11680
