race_id,race_date,stadium_code,race_no,exacta_combo_norm,exacta_payout,logic_id,combo,is_hit,return_yen
202604110710,2026-04-11,07,10,1-3,320,L01,1-2,0,0
202604111110,2026-04-11,11,10,1-2,300,L01,1-2,1,300
202604111503,2026-04-11,15,3,6-4,590,L01,1-2,0,0
202604111506,2026-04-11,15,6,1-4,390,L01,1-2,0,0
202604120102,2026-04-12,01,2,4-5,1230,L01,1-2,0,0
202604120108,2026-04-12,01,8,3-2,3640,L01,1-2,0,0
202604121407,2026-04-12,14,7,4-1,2050,L01,1-2,0,0
202604122312,2026-04-12,23,12,1-2,210,L01,1-2,1,210
202604130302,2026-04-13,03,2,1-5,880,L01,1-2,0,0
202604132411,2026-04-13,24,11,1-3,230,L01,1-2,0,0
202604140206,2026-04-14,02,6,2-6,810,L01,1-2,0,0
202604141602,2026-04-14,16,2,2-4,660,L01,1-2,0,0
202604142004,2026-04-14,20,4,2-1,430,L01,1-2,0,0
202604142009,2026-04-14,20,9,1-3,220,L01,1-2,0,0
202604150112,2026-04-15,01,12,1-3,360,L01,1-2,0,0
202604151708,2026-04-15,17,8,1-2,320,L01,1-2,1,320
202604152203,2026-04-15,22,3,1-3,470,L01,1-2,0,0
202604152204,2026-04-15,22,4,1-4,1180,L01,1-2,0,0
202604162211,2026-04-16,22,11,1-2,200,L01,1-2,1,200
202604171210,2026-04-17,12,10,1-5,440,L01,1-2,0,0
202604180510,2026-04-18,05,10,1-5,580,L01,1-2,0,0
202604181002,2026-04-18,10,2,5-1,1670,L01,1-2,0,0
202604182012,2026-04-18,20,12,1-2,270,L01,1-2,1,270
202604182301,2026-04-18,23,1,1-4,810,L01,1-2,0,0
202604190502,2026-04-19,05,2,4-5,3400,L01,1-2,0,0
202604190912,2026-04-19,09,12,1-4,820,L01,1-2,0,0
202604191004,2026-04-19,10,4,1-2,300,L01,1-2,1,300
202604192105,2026-04-19,21,5,1-2,150,L01,1-2,1,150
202604192408,2026-04-19,24,8,1-2,540,L01,1-2,1,540
202604192412,2026-04-19,24,12,1-5,530,L01,1-2,0,0
202604201205,2026-04-20,12,5,1-4,1060,L01,1-2,0,0
202604210507,2026-04-21,05,7,1-4,450,L01,1-2,0,0
202604212205,2026-04-21,22,5,6-4,500,L01,1-2,0,0
202604212207,2026-04-21,22,7,1-2,170,L01,1-2,1,170
202604220511,2026-04-22,05,11,1-6,2940,L01,1-2,0,0
202604222002,2026-04-22,20,2,1-6,1330,L01,1-2,0,0
202604222202,2026-04-22,22,2,4-3,5400,L01,1-2,0,0
202604230110,2026-04-23,01,10,1-2,220,L01,1-2,1,220
202604231112,2026-04-23,11,12,1-3,900,L01,1-2,0,0
202604231809,2026-04-23,18,9,1-2,440,L01,1-2,1,440
202604232006,2026-04-23,20,6,2-1,570,L01,1-2,0,0
202604232007,2026-04-23,20,7,4-1,750,L01,1-2,0,0
202604240401,2026-04-24,04,1,4-1,480,L01,1-2,0,0
202604240412,2026-04-24,04,12,1-2,230,L01,1-2,1,230
202604240707,2026-04-24,07,7,3-1,640,L01,1-2,0,0
202604241212,2026-04-24,12,12,5-6,16500,L01,1-2,0,0
202604241812,2026-04-24,18,12,1-3,400,L01,1-2,0,0
202604250407,2026-04-25,04,7,1-4,1330,L01,1-2,0,0
202604250601,2026-04-25,06,1,2-6,13780,L01,1-2,0,0
202604250903,2026-04-25,09,3,1-6,4210,L01,1-2,0,0
202604251611,2026-04-25,16,11,1-3,300,L01,1-2,0,0
202604260309,2026-04-26,03,9,4-3,2080,L01,1-2,0,0
202604261301,2026-04-26,13,1,3-1,780,L01,1-2,0,0
202604261702,2026-04-26,17,2,2-6,2360,L01,1-2,0,0
202604262102,2026-04-26,21,2,1-4,180,L01,1-2,0,0
202604270412,2026-04-27,04,12,1-3,160,L01,1-2,0,0
202604270607,2026-04-27,06,7,4-1,490,L01,1-2,0,0
202604271310,2026-04-27,13,10,2-1,700,L01,1-2,0,0
202604271502,2026-04-27,15,2,1-3,490,L01,1-2,0,0
202604272012,2026-04-27,20,12,1-2,280,L01,1-2,1,280
202604272106,2026-04-27,21,6,2-4,850,L01,1-2,0,0
202604282105,2026-04-28,21,5,1-3,170,L01,1-2,0,0
202604291210,2026-04-29,12,10,5-6,10940,L01,1-2,0,0
202604291303,2026-04-29,13,3,1-3,380,L01,1-2,0,0
202604291507,2026-04-29,15,7,1-5,1140,L01,1-2,0,0
202604291803,2026-04-29,18,3,1-3,250,L01,1-2,0,0
202604292208,2026-04-29,22,8,1-2,520,L01,1-2,1,520
202604292405,2026-04-29,24,5,3-4,2150,L01,1-2,0,0
202604301709,2026-04-30,17,9,1-3,160,L01,1-2,0,0
202604301909,2026-04-30,19,9,1-5,2320,L01,1-2,0,0
202605010110,2026-05-01,01,10,1-5,1290,L01,1-2,0,0
202605010308,2026-05-01,03,8,1-2,520,L01,1-2,1,520
202605020102,2026-05-02,01,2,1-2,1270,L01,1-2,1,1270
202605020911,2026-05-02,09,11,1-4,510,L01,1-2,0,0
202605021608,2026-05-02,16,8,1-2,220,L01,1-2,1,220
202605021906,2026-05-02,19,6,1-6,2100,L01,1-2,0,0
202605022212,2026-05-02,22,12,2-1,650,L01,1-2,0,0
202605022301,2026-05-02,23,1,1-5,600,L01,1-2,0,0
202605030903,2026-05-03,09,3,2-1,2080,L01,1-2,0,0
202605030909,2026-05-03,09,9,3-4,1050,L01,1-2,0,0
202605031207,2026-05-03,12,7,2-1,510,L01,1-2,0,0
