combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-<=0.03 | low_other_pressure,39,19,48.72,3900,8760,4860,224.62,461.05,10.09,73.93,733.07,150.69,38.63,-272.02,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | some_other_pressure,82,11,13.41,8200,18140,9940,221.22,1649.09,4.01,72.27,1802.93,148.95,9.4,-153.84,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,>0.06-0.04-0.06 | low_other_pressure,35,7,20.0,3500,7730,4230,220.86,1104.29,4.01,72.27,1802.93,148.59,15.99,-698.64,probability_plus_price
1-6,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,4+ | 0,77,6,7.79,7700,15190,7490,197.27,2531.67,4.01,72.27,1802.93,125.0,3.78,728.74,price_distortion
1-5,lane1_target_group_pair x other_a_count_bucket,B-B | 4,36,2,5.56,3600,6960,3360,193.33,3480.0,6.56,77.62,1182.57,115.71,-1.0,2297.43,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-<=0.03 | low_other_pressure,32,7,21.88,3200,5830,2630,182.19,832.86,4.01,72.27,1802.93,109.92,17.87,-970.07,probability_plus_price
1-4,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.10+ | target_faster_0.03_0.06,93,14,15.05,9300,16350,7050,175.81,1167.86,10.09,73.93,733.07,101.88,4.96,434.79,price_distortion
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.05_0.10 | target_faster_0.03_0.06,168,15,8.93,16800,29460,12660,175.36,1964.0,4.01,72.27,1802.93,103.09,4.92,161.07,price_distortion
1-6,lane1_target_exhibition_st_rank_pair,3-1,325,28,8.62,32500,52330,19830,161.02,1868.93,4.01,72.27,1802.93,88.75,4.61,66.0,mixed_edge
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,3 | 1,325,28,8.62,32500,52330,19830,161.02,1868.93,4.01,72.27,1802.93,88.75,4.61,66.0,mixed_edge
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-best | some_other_pressure,39,11,28.21,3900,6230,2330,159.74,566.36,10.09,73.93,733.07,85.81,18.12,-166.71,probability_plus_price
