cycle_month,target_window,logic_id,combo,slice_family,slice_value,train_sample_races,train_hits,train_hit_rate_pct,train_roi_pct,train_roi_lift_pct,train_positive_months,target_bets,target_hits,target_hit_rate_pct,target_return_yen,target_profit_yen,target_roi_pct,target_avg_hit_payout_yen
2026-01,2026-01-11_to_2026-02-10,L01,1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,1026,222,21.64,122.58,44.06,3,378,73,19.31,41240,3440,109.1,564.93
2026-01,2026-01-11_to_2026-02-10,L02,1-2,lane1_target_exhibition_st_rank_pair,1-2,1871,558,29.82,127.54,46.22,3,689,214,31.06,86910,18010,126.14,406.12
2026-01,2026-01-11_to_2026-02-10,L03,1-3,lane1_target_exhibition_st_rank_pair,1-3,1531,374,24.43,129.69,51.17,3,537,137,25.51,69350,15650,129.14,506.2
2026-01,2026-01-11_to_2026-02-10,L04,1-3,lane1_target_exhibition_st_rank_pair,1-2,1050,282,26.86,125.38,46.86,3,407,114,28.01,55690,14990,136.83,488.51
2026-01,2026-01-11_to_2026-02-10,L05,1-3,lane1_target_start_gap_pair,best-0.04-0.06,1296,311,24.0,122.14,43.62,3,469,100,21.32,50490,3590,107.65,504.9
2026-01,2026-01-11_to_2026-02-10,L06,1-2,lane1_target_exhibition_st_rank_pair,1-3,975,241,24.72,118.15,36.83,3,353,110,31.16,43500,8200,123.23,395.45
2026-01,2026-01-11_to_2026-02-10,L07,1-2,target_exhibition_st_rank_bucket,2,2840,734,25.85,111.5,30.18,3,1082,293,27.08,122980,14780,113.66,419.73
2026-01,2026-01-11_to_2026-02-10,L08,1-2,lane1_target_exhibition_st_rank_pair,2-1,595,179,30.08,119.87,38.55,3,233,59,25.32,25560,2260,109.7,433.22
2026-01,2026-01-11_to_2026-02-10,L09,1-2,lane1_target_start_gap_pair,best-best,325,90,27.69,116.58,35.26,3,123,37,30.08,16320,4020,132.68,441.08
2026-01,2026-01-11_to_2026-02-10,L10,1-3,lane1_target_start_gap_pair,<=0.03-best,875,201,22.97,118.35,39.83,3,316,74,23.42,33870,2270,107.18,457.7
2026-02,2026-02-11_to_2026-03-10,L01,1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1129,262,23.21,130.67,51.55,3,271,44,16.24,28670,1570,105.79,651.59
2026-02,2026-02-11_to_2026-03-10,L02,1-3,lane1_target_exhibition_st_rank_pair,1-2,1132,310,27.39,127.08,47.96,3,285,71,24.91,41510,13010,145.65,584.65
2026-02,2026-02-11_to_2026-03-10,L03,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,325,132,40.62,130.49,49.32,3,75,24,32.0,8570,1070,114.27,357.08
2026-02,2026-02-11_to_2026-03-10,L04,1-3,lane1_target_start_gap_pair,best-<=0.03,1432,356,24.86,124.29,45.17,3,352,71,20.17,35730,530,101.51,503.24
2026-02,2026-02-11_to_2026-03-10,L05,1-3,lane1_target_exhibition_st_rank_pair,1-3,1636,406,24.82,129.16,50.04,3,370,74,20.0,35490,-1510,95.92,479.59
2026-02,2026-02-11_to_2026-03-10,L06,1-2,lane1_target_exhibition_st_rank_pair,1-2,2032,604,29.72,123.75,42.58,3,467,134,28.69,58460,11760,125.18,436.27
2026-02,2026-02-11_to_2026-03-10,L07,1-3,lane1_target_exhibition_st_rank_pair,2-1,568,151,26.58,122.34,43.22,3,176,40,22.73,15160,-2440,86.14,379.0
2026-02,2026-02-11_to_2026-03-10,L08,1-2,lane1_target_exhibition_st_rank_pair,1-3,1047,275,26.27,117.68,36.51,3,259,59,22.78,23190,-2710,89.54,393.05
2026-02,2026-02-11_to_2026-03-10,L09,1-2,lane1_target_start_gap_pair,best-<=0.03,1678,482,28.72,121.11,39.94,3,382,103,26.96,46020,7820,120.47,446.8
