combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type,positive_months,months_with_sample
1-6,lane1_target_start_gap_pair,<=0.03-best,517,43,8.32,51700,68570,16870,132.63,1594.65,3.84,68.07,1771.89,64.56,4.48,-177.24,mixed_edge,4,4
1-3,lane1_target_exhibition_st_rank_pair,1-3,1729,416,24.06,172900,219180,46280,126.77,526.88,15.88,78.55,494.65,48.22,8.18,32.23,probability_plus_price,4,4
1-2,lane1_target_exhibition_st_rank_pair,1-2,2130,637,29.91,213000,269820,56820,126.68,423.58,18.62,80.28,431.15,46.4,11.29,-7.57,probability_plus_price,4,4
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,338,126,37.28,33800,42810,9010,126.66,339.76,18.62,80.28,431.15,46.38,18.66,-91.39,probability_plus_price,4,4
1-6,target_class_group x target_outer_pressure_bucket,B | some_other_pressure,356,28,7.87,35600,44710,9110,125.59,1596.79,3.84,68.07,1771.89,57.52,4.03,-175.1,mixed_edge,4,4
1-3,lane1_target_exhibition_st_rank_pair,1-2,1201,320,26.64,120100,148500,28400,123.65,464.06,15.88,78.55,494.65,45.1,10.76,-30.59,probability_plus_price,4,4
1-2,lane1_target_start_gap_pair,best-best,383,113,29.5,38300,47330,9030,123.58,418.85,18.62,80.28,431.15,43.3,10.88,-12.3,probability_plus_price,4,4
1-3,lane1_target_start_gap_pair,best-0.04-0.06,1459,347,23.78,145900,176230,30330,120.79,507.87,15.88,78.55,494.65,42.24,7.9,13.22,probability_plus_price,4,4
1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,1143,242,21.17,114300,137810,23510,120.57,569.46,15.88,78.55,494.65,42.02,5.29,74.81,probability_plus_price,4,4
1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1290,317,24.57,129000,154570,25570,119.82,487.6,18.62,80.28,431.15,39.54,5.95,56.45,probability_plus_price,4,4
1-4,lane1_target_exhibition_st_rank_pair,1-2,680,132,19.41,68000,79800,11800,117.35,604.55,10.12,74.92,740.24,42.43,9.29,-135.69,probability_plus_price,4,4
1-6,target_exhibition_st_rank_bucket,2,1536,98,6.38,153600,171290,17690,111.52,1747.86,3.84,68.07,1771.89,43.45,2.54,-24.03,mixed_edge,4,4
