race_id,race_date,stadium_code,race_no,exacta_combo_norm,exacta_payout,logic_id,combo,is_hit,return_yen
202601110504,2026-01-11,05,4,2-1,650,L01,1-6,0,0
202601110505,2026-01-11,05,5,6-1,16380,L01,1-6,0,0
202601111205,2026-01-11,12,5,1-6,320,L01,1-6,1,320
202601111601,2026-01-11,16,1,1-2,250,L01,1-6,0,0
202601120107,2026-01-12,01,7,1-5,1620,L01,1-6,0,0
202601120308,2026-01-12,03,8,1-6,2110,L01,1-6,1,2110
202601121201,2026-01-12,12,1,1-3,390,L01,1-6,0,0
202601121312,2026-01-12,13,12,1-2,320,L01,1-6,0,0
202601121402,2026-01-12,14,2,4-6,2050,L01,1-6,0,0
202601122004,2026-01-12,20,4,1-3,590,L01,1-6,0,0
202601122111,2026-01-12,21,11,1-3,320,L01,1-6,0,0
202601130101,2026-01-13,01,1,2-1,3160,L01,1-6,0,0
202601130201,2026-01-13,02,1,6-1,3750,L01,1-6,0,0
202601131209,2026-01-13,12,9,1-5,930,L01,1-6,0,0
202601131404,2026-01-13,14,4,1-2,390,L01,1-6,0,0
202601131912,2026-01-13,19,12,1-6,2450,L01,1-6,1,2450
202601132101,2026-01-13,21,1,2-3,2320,L01,1-6,0,0
202601132107,2026-01-13,21,7,6-1,2260,L01,1-6,0,0
202601140212,2026-01-14,02,12,1-3,370,L01,1-6,0,0
202601140709,2026-01-14,07,9,1-5,760,L01,1-6,0,0
202601141204,2026-01-14,12,4,3-2,1840,L01,1-6,0,0
202601141910,2026-01-14,19,10,5-6,1460,L01,1-6,0,0
202601142201,2026-01-14,22,1,1-2,240,L01,1-6,0,0
202601142207,2026-01-14,22,7,1-3,1080,L01,1-6,0,0
202601142210,2026-01-14,22,10,2-1,830,L01,1-6,0,0
202601142311,2026-01-14,23,11,2-3,3120,L01,1-6,0,0
202601150307,2026-01-15,03,7,3-6,1440,L01,1-6,0,0
202601150308,2026-01-15,03,8,2-3,390,L01,1-6,0,0
202601150403,2026-01-15,04,3,1-2,300,L01,1-6,0,0
202601150511,2026-01-15,05,11,1-4,1670,L01,1-6,0,0
202601150701,2026-01-15,07,1,3-1,960,L01,1-6,0,0
202601150708,2026-01-15,07,8,1-5,800,L01,1-6,0,0
202601150712,2026-01-15,07,12,4-1,1560,L01,1-6,0,0
202601152403,2026-01-15,24,3,2-1,640,L01,1-6,0,0
202601152405,2026-01-15,24,5,3-1,880,L01,1-6,0,0
202601160102,2026-01-16,01,2,6-2,4970,L01,1-6,0,0
202601160410,2026-01-16,04,10,5-2,9350,L01,1-6,0,0
202601160412,2026-01-16,04,12,4-2,2970,L01,1-6,0,0
202601161209,2026-01-16,12,9,1-5,880,L01,1-6,0,0
202601170407,2026-01-17,04,7,2-1,1240,L01,1-6,0,0
202601171508,2026-01-17,15,8,4-1,1380,L01,1-6,0,0
202601172406,2026-01-17,24,6,2-3,250,L01,1-6,0,0
202601172412,2026-01-17,24,12,1-4,590,L01,1-6,0,0
202601180204,2026-01-18,02,4,3-2,2780,L01,1-6,0,0
202601180407,2026-01-18,04,7,3-2,1300,L01,1-6,0,0
202601180703,2026-01-18,07,3,4-1,4300,L01,1-6,0,0
202601181102,2026-01-18,11,2,1-5,1290,L01,1-6,0,0
202601181301,2026-01-18,13,1,1-3,340,L01,1-6,0,0
202601181801,2026-01-18,18,1,1-3,360,L01,1-6,0,0
202601182006,2026-01-18,20,6,1-2,220,L01,1-6,0,0
202601182206,2026-01-18,22,6,1-4,2470,L01,1-6,0,0
202601182211,2026-01-18,22,11,1-2,240,L01,1-6,0,0
202601182308,2026-01-18,23,8,1-2,360,L01,1-6,0,0
202601182401,2026-01-18,24,1,5-1,1340,L01,1-6,0,0
202601190202,2026-01-19,02,2,2-4,560,L01,1-6,0,0
202601190606,2026-01-19,06,6,6-5,1340,L01,1-6,0,0
202601190804,2026-01-19,08,4,1-6,740,L01,1-6,1,740
202601190807,2026-01-19,08,7,1-6,2680,L01,1-6,1,2680
202601190808,2026-01-19,08,8,1-3,310,L01,1-6,0,0
202601190810,2026-01-19,08,10,2-1,310,L01,1-6,0,0
202601191106,2026-01-19,11,6,2-6,2760,L01,1-6,0,0
202601191107,2026-01-19,11,7,5-1,4320,L01,1-6,0,0
202601191906,2026-01-19,19,6,3-1,900,L01,1-6,0,0
202601191908,2026-01-19,19,8,1-4,850,L01,1-6,0,0
202601191912,2026-01-19,19,12,1-5,550,L01,1-6,0,0
202601192311,2026-01-19,23,11,1-2,250,L01,1-6,0,0
202601192406,2026-01-19,24,6,1-2,220,L01,1-6,0,0
202601200211,2026-01-20,02,11,1-2,260,L01,1-6,0,0
202601200603,2026-01-20,06,3,1-5,340,L01,1-6,0,0
202601210103,2026-01-21,01,3,2-1,540,L01,1-6,0,0
202601210412,2026-01-21,04,12,3-2,7850,L01,1-6,0,0
202601210804,2026-01-21,08,4,1-3,1480,L01,1-6,0,0
202601211010,2026-01-21,10,10,5-1,1320,L01,1-6,0,0
202601211101,2026-01-21,11,1,1-2,280,L01,1-6,0,0
202601211607,2026-01-21,16,7,2-3,710,L01,1-6,0,0
202601211612,2026-01-21,16,12,1-3,460,L01,1-6,0,0
202601212009,2026-01-21,20,9,2-1,770,L01,1-6,0,0
202601212011,2026-01-21,20,11,1-2,370,L01,1-6,0,0
202601220201,2026-01-22,02,1,1-4,840,L01,1-6,0,0
202601220208,2026-01-22,02,8,2-6,570,L01,1-6,0,0
202601220405,2026-01-22,04,5,1-5,590,L01,1-6,0,0
202601221005,2026-01-22,10,5,1-4,540,L01,1-6,0,0
202601221310,2026-01-22,13,10,1-2,370,L01,1-6,0,0
202601222007,2026-01-22,20,7,1-2,290,L01,1-6,0,0
202601222008,2026-01-22,20,8,3-1,1510,L01,1-6,0,0
202601222305,2026-01-22,23,5,4-2,26780,L01,1-6,0,0
202601222401,2026-01-22,24,1,3-1,800,L01,1-6,0,0
202601230705,2026-01-23,07,5,1-6,590,L01,1-6,1,590
202601230708,2026-01-23,07,8,5-1,2250,L01,1-6,0,0
202601231305,2026-01-23,13,5,1-2,260,L01,1-6,0,0
202601231511,2026-01-23,15,11,3-1,1120,L01,1-6,0,0
202601231901,2026-01-23,19,1,1-3,670,L01,1-6,0,0
202601232303,2026-01-23,23,3,1-4,1990,L01,1-6,0,0
202601232305,2026-01-23,23,5,3-4,3650,L01,1-6,0,0
202601240709,2026-01-24,07,9,1-3,230,L01,1-6,0,0
202601241004,2026-01-24,10,4,4-2,870,L01,1-6,0,0
202601241011,2026-01-24,10,11,1-2,400,L01,1-6,0,0
202601241311,2026-01-24,13,11,1-2,360,L01,1-6,0,0
202601242311,2026-01-24,23,11,5-4,10370,L01,1-6,0,0
202601250709,2026-01-25,07,9,1-6,4040,L01,1-6,1,4040
202601252001,2026-01-25,20,1,1-2,540,L01,1-6,0,0
202601252306,2026-01-25,23,6,6-2,2240,L01,1-6,0,0
202601260401,2026-01-26,04,1,4-3,10130,L01,1-6,0,0
202601260912,2026-01-26,09,12,1-3,270,L01,1-6,0,0
202601261007,2026-01-26,10,7,1-5,350,L01,1-6,0,0
202601262003,2026-01-26,20,3,1-2,340,L01,1-6,0,0
202601262308,2026-01-26,23,8,1-3,320,L01,1-6,0,0
202601270706,2026-01-27,07,6,1-6,310,L01,1-6,1,310
202601270903,2026-01-27,09,3,5-6,1780,L01,1-6,0,0
202601271207,2026-01-27,12,7,1-5,7280,L01,1-6,0,0
202601272004,2026-01-27,20,4,1-2,730,L01,1-6,0,0
202601272408,2026-01-27,24,8,3-1,3480,L01,1-6,0,0
202601280508,2026-01-28,05,8,6-1,1590,L01,1-6,0,0
202601280707,2026-01-28,07,7,1-2,320,L01,1-6,0,0
202601280908,2026-01-28,09,8,1-5,4770,L01,1-6,0,0
202601281810,2026-01-28,18,10,2-4,3130,L01,1-6,0,0
202601282005,2026-01-28,20,5,1-2,250,L01,1-6,0,0
202601282112,2026-01-28,21,12,1-4,300,L01,1-6,0,0
202601290410,2026-01-29,04,10,1-2,240,L01,1-6,0,0
202601290411,2026-01-29,04,11,1-4,360,L01,1-6,0,0
202601291212,2026-01-29,12,12,1-5,2900,L01,1-6,0,0
202601291610,2026-01-29,16,10,2-1,410,L01,1-6,0,0
202601292202,2026-01-29,22,2,2-3,4470,L01,1-6,0,0
202601300208,2026-01-30,02,8,2-1,890,L01,1-6,0,0
202601301203,2026-01-30,12,3,1-4,570,L01,1-6,0,0
202601302109,2026-01-30,21,9,1-2,490,L01,1-6,0,0
202601302309,2026-01-30,23,9,1-3,340,L01,1-6,0,0
202601310212,2026-01-31,02,12,1-6,970,L01,1-6,1,970
202601310405,2026-01-31,04,5,2-1,1550,L01,1-6,0,0
202601311306,2026-01-31,13,6,1-2,390,L01,1-6,0,0
202601311401,2026-01-31,14,1,2-1,1120,L01,1-6,0,0
202602010605,2026-02-01,06,5,2-1,500,L01,1-6,0,0
202602010712,2026-02-01,07,12,1-3,270,L01,1-6,0,0
202602011010,2026-02-01,10,10,1-5,890,L01,1-6,0,0
202602011610,2026-02-01,16,10,1-2,150,L01,1-6,0,0
202602020202,2026-02-02,02,2,3-2,810,L01,1-6,0,0
202602020706,2026-02-02,07,6,5-3,2780,L01,1-6,0,0
202602020711,2026-02-02,07,11,1-2,220,L01,1-6,0,0
202602021011,2026-02-02,10,11,1-3,340,L01,1-6,0,0
202602021604,2026-02-02,16,4,2-1,2100,L01,1-6,0,0
202602021903,2026-02-02,19,3,1-2,340,L01,1-6,0,0
202602021912,2026-02-02,19,12,1-2,310,L01,1-6,0,0
202602030304,2026-02-03,03,4,4-5,800,L01,1-6,0,0
202602030608,2026-02-03,06,8,5-1,7680,L01,1-6,0,0
202602030702,2026-02-03,07,2,2-4,560,L01,1-6,0,0
202602031009,2026-02-03,10,9,6-2,2260,L01,1-6,0,0
202602031608,2026-02-03,16,8,1-4,840,L01,1-6,0,0
202602031710,2026-02-03,17,10,3-1,1650,L01,1-6,0,0
202602032303,2026-02-03,23,3,3-2,2170,L01,1-6,0,0
202602040307,2026-02-04,03,7,1-2,330,L01,1-6,0,0
202602041110,2026-02-04,11,10,5-6,4900,L01,1-6,0,0
202602041408,2026-02-04,14,8,4-2,3480,L01,1-6,0,0
202602042302,2026-02-04,23,2,2-3,760,L01,1-6,0,0
202602042311,2026-02-04,23,11,1-3,330,L01,1-6,0,0
202602050401,2026-02-05,04,1,5-1,2610,L01,1-6,0,0
202602050407,2026-02-05,04,7,5-4,2080,L01,1-6,0,0
202602051103,2026-02-05,11,3,6-1,3360,L01,1-6,0,0
202602051703,2026-02-05,17,3,1-3,770,L01,1-6,0,0
202602060108,2026-02-06,01,8,1-3,1100,L01,1-6,0,0
202602060410,2026-02-06,04,10,6-1,760,L01,1-6,0,0
202602061508,2026-02-06,15,8,1-3,420,L01,1-6,0,0
