combo,slice_family,slice_value,sample_races,hits,hit_rate_pct,stake_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,baseline_hit_rate_pct,baseline_roi_pct,baseline_avg_hit_payout_yen,roi_lift_pct,hit_rate_lift_pct,avg_payout_lift_yen,distortion_type
1-6,target_exhibition_st_rank_bucket x other_st_faster_than_target_count_bucket,4+ | 0,78,8,10.26,7800,18030,10230,231.15,2253.75,4.05,73.3,1810.13,157.85,6.21,443.62,price_distortion
1-4,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-<=0.03 | low_other_pressure,40,19,47.5,4000,8980,4980,224.5,472.63,10.14,74.17,731.46,150.33,37.36,-258.83,probability_plus_price
1-5,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | some_other_pressure,95,21,22.11,9500,20210,10710,212.74,962.38,6.7,75.78,1131.51,136.96,15.41,-169.13,probability_plus_price
1-6,lane1_target_exhibition_time_diff_bucket x lane1_target_start_exhibition_st_diff_bucket,target_faster_0.05_0.10 | target_faster_0.03_0.06,189,18,9.52,18900,37400,18500,197.88,2077.78,4.05,73.3,1810.13,124.58,5.47,267.65,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | some_other_pressure,81,10,12.35,8100,15240,7140,188.15,1524.0,4.05,73.3,1810.13,114.85,8.3,-286.13,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,<=0.03-best | some_other_pressure,80,9,11.25,8000,14600,6600,182.5,1622.22,4.05,73.3,1810.13,109.2,7.2,-187.91,probability_plus_price
1-6,grade_group,SG,72,4,5.56,7200,12320,5120,171.11,3080.0,4.05,73.3,1810.13,97.81,1.51,1269.87,price_distortion
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,>0.06-0.04-0.06 | low_other_pressure,35,6,17.14,3500,5850,2350,167.14,975.0,4.05,73.3,1810.13,93.84,13.09,-835.13,probability_plus_price
1-6,lane1_target_exhibition_st_rank_pair,2-1,366,39,10.66,36600,58960,22360,161.09,1511.79,4.05,73.3,1810.13,87.79,6.61,-298.34,probability_plus_price
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,2 | 1,366,39,10.66,36600,58960,22360,161.09,1511.79,4.05,73.3,1810.13,87.79,6.61,-298.34,probability_plus_price
1-6,lane1_target_exhibition_st_rank_pair,3-1,332,29,8.73,33200,53420,20220,160.9,1842.07,4.05,73.3,1810.13,87.6,4.68,31.94,mixed_edge
1-6,lane1_exhibition_st_rank_bucket x target_exhibition_st_rank_bucket,3 | 1,332,29,8.73,33200,53420,20220,160.9,1842.07,4.05,73.3,1810.13,87.6,4.68,31.94,mixed_edge
1-6,lane1_target_group_pair x target_outer_pressure_bucket,A-B | low_other_pressure,56,8,14.29,5600,8910,3310,159.11,1113.75,4.05,73.3,1810.13,85.81,10.24,-696.38,probability_plus_price
1-6,lane1_target_start_gap_pair x target_outer_pressure_bucket,0.04-0.06-best | high_other_pressure,452,25,5.53,45200,71160,25960,157.43,2846.4,4.05,73.3,1810.13,84.13,1.48,1036.27,price_distortion
1-6,lane1_target_start_gap_pair,0.04-0.06-best,580,43,7.41,58000,90320,32320,155.72,2100.47,4.05,73.3,1810.13,82.42,3.36,290.34,price_distortion
1-6,target_lane x lane1_target_start_gap_pair,6 | 0.04-0.06-best,580,43,7.41,58000,90320,32320,155.72,2100.47,4.05,73.3,1810.13,82.42,3.36,290.34,price_distortion
1-6,lane1_start_exhibition_gap_bucket x target_start_exhibition_gap_bucket,0.04-0.06 | best,580,43,7.41,58000,90320,32320,155.72,2100.47,4.05,73.3,1810.13,82.42,3.36,290.34,price_distortion
