race_id,race_date,stadium_code,race_no,exacta_combo_norm,exacta_payout,logic_id,combo,is_hit,return_yen
202604110401,2026-04-11,04,1,4-5,550,L10,1-4,0,0
202604110405,2026-04-11,04,5,1-3,240,L08,1-6,0,0
202604110408,2026-04-11,04,8,1-4,340,L11,1-2,0,0
202604110412,2026-04-11,04,12,1-3,460,L10,1-4,0,0
202604110412,2026-04-11,04,12,1-3,460,L03,1-5,0,0
202604110604,2026-04-11,06,4,5-1,1320,L10,1-4,0,0
202604110605,2026-04-11,06,5,2-4,1110,L08,1-6,0,0
202604110609,2026-04-11,06,9,6-3,34290,L02,1-5,0,0
202604110610,2026-04-11,06,10,2-1,1400,L04,1-6,0,0
202604110701,2026-04-11,07,1,2-1,2090,L09,1-3,0,0
202604110702,2026-04-11,07,2,1-2,310,L12,1-2,1,310
202604110703,2026-04-11,07,3,4-1,1500,L09,1-3,0,0
202604110703,2026-04-11,07,3,4-1,1500,L10,1-4,0,0
202604110705,2026-04-11,07,5,1-5,340,L01,1-5,1,340
202604110706,2026-04-11,07,6,2-3,1650,L10,1-4,0,0
202604110710,2026-04-11,07,10,1-3,320,L05,1-2,0,0
202604110710,2026-04-11,07,10,1-3,320,L03,1-5,0,0
202604110711,2026-04-11,07,11,1-4,1180,L04,1-6,0,0
202604110712,2026-04-11,07,12,2-4,6980,L02,1-5,0,0
202604111103,2026-04-11,11,3,1-3,630,L07,1-5,0,0
202604111109,2026-04-11,11,9,2-3,790,L12,1-2,0,0
202604111110,2026-04-11,11,10,1-2,300,L05,1-2,1,300
202604111112,2026-04-11,11,12,1-2,220,L10,1-4,0,0
202604111407,2026-04-11,14,7,3-2,1910,L09,1-3,0,0
202604111408,2026-04-11,14,8,2-1,500,L08,1-6,0,0
202604111411,2026-04-11,14,11,1-3,510,L07,1-5,0,0
202604111503,2026-04-11,15,3,6-4,590,L05,1-2,0,0
202604111506,2026-04-11,15,6,1-4,390,L05,1-2,0,0
202604111509,2026-04-11,15,9,1-3,330,L09,1-3,1,330
202604111509,2026-04-11,15,9,1-3,330,L10,1-4,0,0
202604111509,2026-04-11,15,9,1-3,330,L02,1-5,0,0
202604111704,2026-04-11,17,4,1-5,500,L12,1-2,0,0
202604111706,2026-04-11,17,6,2-3,600,L08,1-6,0,0
202604112201,2026-04-11,22,1,3-1,610,L09,1-3,0,0
202604112203,2026-04-11,22,3,1-2,330,L11,1-2,1,330
202604112203,2026-04-11,22,3,1-2,330,L02,1-5,0,0
202604112304,2026-04-11,23,4,1-5,1890,L04,1-6,0,0
202604112305,2026-04-11,23,5,1-3,190,L02,1-5,0,0
202604112306,2026-04-11,23,6,2-4,4810,L08,1-6,0,0
202604112307,2026-04-11,23,7,4-5,1040,L04,1-6,0,0
202604112310,2026-04-11,23,10,1-5,1820,L08,1-6,0,0
202604112311,2026-04-11,23,11,5-4,3610,L11,1-2,0,0
202604112312,2026-04-11,23,12,1-5,440,L08,1-6,0,0
202604112401,2026-04-11,24,1,1-3,470,L08,1-6,0,0
202604112404,2026-04-11,24,4,1-4,860,L08,1-6,0,0
202604112411,2026-04-11,24,11,1-2,230,L11,1-2,1,230
202604112412,2026-04-11,24,12,1-2,470,L11,1-2,1,470
202604112412,2026-04-11,24,12,1-2,470,L09,1-3,0,0
202604120102,2026-04-12,01,2,4-5,1230,L05,1-2,0,0
202604120102,2026-04-12,01,2,4-5,1230,L03,1-5,0,0
202604120106,2026-04-12,01,6,2-6,4000,L11,1-2,0,0
202604120108,2026-04-12,01,8,3-2,3640,L06,1-2,0,0
202604120109,2026-04-12,01,9,1-2,300,L07,1-5,0,0
202604120110,2026-04-12,01,10,1-2,330,L07,1-5,0,0
202604120112,2026-04-12,01,12,3-1,1850,L09,1-3,0,0
202604120112,2026-04-12,01,12,3-1,1850,L08,1-6,0,0
202604120402,2026-04-12,04,2,2-4,1230,L08,1-6,0,0
202604120408,2026-04-12,04,8,1-4,300,L07,1-5,0,0
202604120604,2026-04-12,06,4,1-3,230,L09,1-3,1,230
202604120606,2026-04-12,06,6,4-6,880,L12,1-2,0,0
202604120610,2026-04-12,06,10,1-4,910,L09,1-3,0,0
202604120611,2026-04-12,06,11,1-2,240,L10,1-4,0,0
202604120611,2026-04-12,06,11,1-2,240,L01,1-5,0,0
202604121111,2026-04-12,11,11,1-2,280,L01,1-5,0,0
202604121406,2026-04-12,14,6,3-1,590,L04,1-6,0,0
202604121407,2026-04-12,14,7,4-1,2050,L05,1-2,0,0
202604121410,2026-04-12,14,10,2-1,640,L11,1-2,0,0
202604121410,2026-04-12,14,10,2-1,640,L02,1-5,0,0
202604121412,2026-04-12,14,12,1-2,260,L07,1-5,0,0
202604121502,2026-04-12,15,2,1-3,1140,L07,1-5,0,0
202604121502,2026-04-12,15,2,1-3,1140,L04,1-6,0,0
202604121504,2026-04-12,15,4,3-2,1540,L08,1-6,0,0
202604121506,2026-04-12,15,6,1-4,370,L02,1-5,0,0
202604121601,2026-04-12,16,1,1-4,480,L10,1-4,1,480
202604121604,2026-04-12,16,4,1-2,330,L01,1-5,0,0
202604121605,2026-04-12,16,5,1-2,370,L08,1-6,0,0
202604121608,2026-04-12,16,8,1-3,510,L01,1-5,0,0
202604121609,2026-04-12,16,9,5-1,3040,L07,1-5,0,0
202604121610,2026-04-12,16,10,5-1,810,L04,1-6,0,0
202604121703,2026-04-12,17,3,5-3,4580,L01,1-5,0,0
202604121707,2026-04-12,17,7,3-1,1210,L01,1-5,0,0
202604121710,2026-04-12,17,10,1-3,280,L08,1-6,0,0
202604122202,2026-04-12,22,2,2-3,3770,L08,1-6,0,0
202604122203,2026-04-12,22,3,2-3,6110,L10,1-4,0,0
202604122203,2026-04-12,22,3,2-3,6110,L03,1-5,0,0
202604122204,2026-04-12,22,4,1-3,410,L09,1-3,1,410
202604122206,2026-04-12,22,6,2-1,860,L11,1-2,0,0
202604122206,2026-04-12,22,6,2-1,860,L09,1-3,0,0
202604122206,2026-04-12,22,6,2-1,860,L10,1-4,0,0
202604122206,2026-04-12,22,6,2-1,860,L03,1-5,0,0
202604122210,2026-04-12,22,10,2-1,2670,L01,1-5,0,0
202604122301,2026-04-12,23,1,1-2,260,L01,1-5,0,0
202604122308,2026-04-12,23,8,3-5,1100,L07,1-5,0,0
202604122311,2026-04-12,23,11,1-3,190,L07,1-5,0,0
202604122312,2026-04-12,23,12,1-2,210,L05,1-2,1,210
202604122402,2026-04-12,24,2,1-4,990,L08,1-6,0,0
202604122403,2026-04-12,24,3,1-4,400,L01,1-5,0,0
202604122405,2026-04-12,24,5,1-2,140,L11,1-2,1,140
202604122407,2026-04-12,24,7,1-4,240,L09,1-3,0,0
202604122409,2026-04-12,24,9,1-2,330,L07,1-5,0,0
202604122409,2026-04-12,24,9,1-2,330,L04,1-6,0,0
202604122410,2026-04-12,24,10,1-2,190,L04,1-6,0,0
202604122411,2026-04-12,24,11,1-4,990,L10,1-4,1,990
202604122412,2026-04-12,24,12,5-1,960,L01,1-5,0,0
202604130102,2026-04-13,01,2,2-3,3740,L07,1-5,0,0
202604130105,2026-04-13,01,5,4-3,5750,L10,1-4,0,0
202604130109,2026-04-13,01,9,4-5,3970,L02,1-5,0,0
202604130110,2026-04-13,01,10,1-2,430,L08,1-6,0,0
202604130111,2026-04-13,01,11,1-5,690,L09,1-3,0,0
202604130112,2026-04-13,01,12,1-3,470,L09,1-3,1,470
202604130302,2026-04-13,03,2,1-5,880,L05,1-2,0,0
202604130302,2026-04-13,03,2,1-5,880,L10,1-4,0,0
202604130309,2026-04-13,03,9,1-5,370,L08,1-6,0,0
202604130311,2026-04-13,03,11,3-1,1100,L08,1-6,0,0
202604130405,2026-04-13,04,5,1-5,540,L10,1-4,0,0
202604130405,2026-04-13,04,5,1-5,540,L03,1-5,1,540
202604130406,2026-04-13,04,6,1-2,1850,L08,1-6,0,0
202604130410,2026-04-13,04,10,1-4,440,L09,1-3,0,0
202604130410,2026-04-13,04,10,1-4,440,L10,1-4,1,440
202604130410,2026-04-13,04,10,1-4,440,L02,1-5,0,0
202604130411,2026-04-13,04,11,2-5,3670,L08,1-6,0,0
202604130601,2026-04-13,06,1,3-5,6980,L04,1-6,0,0
202604130602,2026-04-13,06,2,2-5,1110,L09,1-3,0,0
202604130605,2026-04-13,06,5,5-1,1090,L04,1-6,0,0
202604130607,2026-04-13,06,7,1-2,180,L09,1-3,0,0
202604131403,2026-04-13,14,3,1-3,480,L01,1-5,0,0
202604131405,2026-04-13,14,5,3-1,550,L09,1-3,0,0
202604131406,2026-04-13,14,6,1-6,6500,L09,1-3,0,0
202604131406,2026-04-13,14,6,1-6,6500,L10,1-4,0,0
202604131410,2026-04-13,14,10,5-6,940,L01,1-5,0,0
202604131411,2026-04-13,14,11,3-2,2110,L09,1-3,0,0
202604131504,2026-04-13,15,4,2-3,2530,L08,1-6,0,0
202604131509,2026-04-13,15,9,3-1,8090,L10,1-4,0,0
202604131509,2026-04-13,15,9,3-1,8090,L01,1-5,0,0
202604131510,2026-04-13,15,10,1-4,410,L11,1-2,0,0
202604131512,2026-04-13,15,12,4-5,3010,L08,1-6,0,0
202604131603,2026-04-13,16,3,3-4,4040,L08,1-6,0,0
202604131610,2026-04-13,16,10,1-2,540,L01,1-5,0,0
202604131703,2026-04-13,17,3,1-3,370,L09,1-3,1,370
202604131704,2026-04-13,17,4,1-2,130,L09,1-3,0,0
202604131705,2026-04-13,17,5,2-1,760,L09,1-3,0,0
202604131706,2026-04-13,17,6,1-4,310,L10,1-4,1,310
202604131707,2026-04-13,17,7,1-4,740,L01,1-5,0,0
202604131712,2026-04-13,17,12,1-4,340,L10,1-4,1,340
202604131712,2026-04-13,17,12,1-4,340,L01,1-5,0,0
202604132202,2026-04-13,22,2,1-3,380,L11,1-2,0,0
202604132202,2026-04-13,22,2,1-3,380,L09,1-3,1,380
202604132202,2026-04-13,22,2,1-3,380,L10,1-4,0,0
202604132210,2026-04-13,22,10,3-4,3990,L09,1-3,0,0
202604132212,2026-04-13,22,12,1-3,420,L07,1-5,0,0
202604132303,2026-04-13,23,3,1-4,320,L09,1-3,0,0
202604132306,2026-04-13,23,6,1-5,1260,L08,1-6,0,0
202604132311,2026-04-13,23,11,2-3,2380,L09,1-3,0,0
202604132312,2026-04-13,23,12,5-1,6060,L09,1-3,0,0
202604132406,2026-04-13,24,6,4-1,570,L01,1-5,0,0
202604132411,2026-04-13,24,11,1-3,230,L05,1-2,0,0
202604132412,2026-04-13,24,12,1-5,540,L04,1-6,0,0
202604140103,2026-04-14,01,3,1-3,450,L09,1-3,1,450
202604140105,2026-04-14,01,5,1-3,510,L07,1-5,0,0
