cycle_month,target_window,logic_id,combo,slice_family,slice_value,train_sample_races,train_hits,train_hit_rate_pct,train_roi_pct,train_roi_lift_pct,train_positive_months,target_bets,target_hits,target_hit_rate_pct,target_return_yen,target_profit_yen,target_roi_pct,target_avg_hit_payout_yen
2026-01,2026-01-11_to_2026-02-10,L01,1-6,lane1_target_start_gap_pair,<=0.03-best,517,43,8.32,132.63,64.56,4,187,9,4.81,14210,-4490,75.99,1578.89
2026-01,2026-01-11_to_2026-02-10,L02,1-3,lane1_target_exhibition_st_rank_pair,1-3,1729,416,24.06,126.77,48.22,4,537,137,25.51,69350,15650,129.14,506.2
2026-01,2026-01-11_to_2026-02-10,L03,1-2,lane1_target_exhibition_st_rank_pair,1-2,2130,637,29.91,126.68,46.4,4,689,214,31.06,86910,18010,126.14,406.12
2026-01,2026-01-11_to_2026-02-10,L04,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | some_other_pressure,338,126,37.28,126.66,46.38,4,93,43,46.24,13930,4630,149.78,323.95
2026-01,2026-01-11_to_2026-02-10,L05,1-6,target_class_group x target_outer_pressure_bucket,B | some_other_pressure,356,28,7.87,125.59,57.52,4,128,11,8.59,17960,5160,140.31,1632.73
2026-01,2026-01-11_to_2026-02-10,L06,1-3,lane1_target_exhibition_st_rank_pair,1-2,1201,320,26.64,123.65,45.1,4,407,114,28.01,55690,14990,136.83,488.51
2026-01,2026-01-11_to_2026-02-10,L07,1-2,lane1_target_start_gap_pair,best-best,383,113,29.5,123.58,43.3,4,123,37,30.08,16320,4020,132.68,441.08
2026-01,2026-01-11_to_2026-02-10,L08,1-3,lane1_target_start_gap_pair,best-0.04-0.06,1459,347,23.78,120.79,42.24,4,469,100,21.32,50490,3590,107.65,504.9
2026-01,2026-01-11_to_2026-02-10,L09,1-3,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-0.04-0.06 | high_other_pressure,1143,242,21.17,120.57,42.02,4,378,73,19.31,41240,3440,109.1,564.93
2026-01,2026-01-11_to_2026-02-10,L10,1-2,lane1_target_start_gap_pair x target_outer_pressure_bucket,best-<=0.03 | high_other_pressure,1290,317,24.57,119.82,39.54,4,419,110,26.25,46860,4960,111.84,426.0
